name,price,type,efficiency,wattage,modular,color,brand
MSI MEG Ai1300P PCIE5,7739.8,ATX,platinum,1300,Full,Black / Copper,MSI
EVGA SuperNOVA 1000 P5,3508.2,ATX,platinum,1000,Full,Blue / Black,EVGA
be quiet! Straight Power 12,3998.0,ATX,platinum,1000,Full,Black,be quiet!
Montech APX,996.0,ATX,plus,650,false,Black,Montech
Apevia Prestige,1339.6,ATX,gold,800,false,Black,Apevia
Corsair HX1000i (2023),5199.8,ATX,platinum,1000,Full,Black,Corsair
Corsair RM1200x SHIFT,4599.8,ATX,gold,1200,Full / Side,Black,Corsair
Cooler Master MWE Gold 750 V3,1999.8,ATX,gold,750,Full,Black,Cooler Master
Super Flower Leadex Titanium,16999.8,ATX,titanium,2800,Full,Black,Super Flower
EVGA SuperNOVA 850 GT,2599.6,ATX,gold,850,Full,Black,EVGA
Corsair HX1200i (2025),6899.8,ATX,platinum,1200,Full,Black,Corsair
Cooler Master MWE Gold 850 V3,2150.0,ATX,gold,850,Full,Black,Cooler Master
Asus TUF Gaming 750G,2529.79,ATX,gold,750,Full,Black,ASUS
MSI MEG Ai-T PCIE5,13759.8,ATX,titanium,1600,Full,Black / Gold,MSI
Thermaltake Smart BM3,1599.6,ATX,bronze,750,Semi,Black,Thermaltake
Montech CENTURY II,2598.0,ATX,gold,1200,Full,Black,Montech
Thermaltake Toughpower GF A3 Snow,3399.8,ATX,gold,1050,Full,White,Thermaltake
Corsair RM1200e,3999.8,ATX,gold,1200,Full,Black,Corsair
be quiet! Straight Power 12,4524.2,ATX,platinum,1200,Full,Black,be quiet!
Corsair RM750x (2018),3677.6,ATX,gold,750,Full,Black,Corsair
Apevia Premier,1099.8,ATX,gold,650,Semi,Black,Apevia
Corsair RM1000x SHIFT,3999.8,ATX,gold,1000,Full / Side,White,Corsair
SeaSonic PRIME TX-1600 Noctua Edition,13080.0,ATX,titanium,1600,Full,Brown / Black,Seasonic
Asus Prime AP-750G,2399.79,ATX,gold,750,Full,White / Black,ASUS
Corsair RM850x SHIFT,3599.8,ATX,gold,850,Full / Side,Black,Corsair
be quiet! Pure Power 12 M,3398.0,ATX,gold,1200,Full,Black,be quiet!
Thermaltake Toughpower GF1 (2024),1999.8,ATX,gold,750,Full,Black,Thermaltake
ASRock Steel Legend SL-750G,1799.8,ATX,gold,750,Full,Black,ASRock
Corsair RM850x SHIFT,3399.8,ATX,gold,850,Full / Side,White,Corsair
Cooler Master V SFX Platinum,4149.8,SFX,platinum,1100,Full,Black,Cooler Master
Segotep GM,1899.8,ATX,gold,850,Full,Black,Segotep
Silverstone SFX,2545.0,SFX,gold,500,Full,Black,SilverStone
Gigabyte AORUS ELITE P850,3299.8,ATX,platinum,850,Full,Black,Gigabyte
Asus Prime AP-850G,2799.8,ATX,gold,850,Full,White / Black,ASUS
Lian Li SP850,2899.8,SFX,gold,850,Full,White,Lian Li
MSI MPG A1000GS PCIE5,2999.8,ATX,gold,1000,Full,Black,MSI
EVGA SuperNOVA 750 GT,2319.6,ATX,gold,750,Full,Black,EVGA
MSI MAG A1250GL PCIE5,4199.8,ATX,gold,1250,Full,Black,MSI
be quiet! Dark Power Pro 13,7998.0,ATX,titanium,1300,Full,Black,be quiet!
Gigabyte UD-GM PG5,2934.4,ATX,gold,750,Full,Black,Gigabyte
SeaSonic VERTEX GX-1000,3999.8,ATX,gold,1000,Full,Black / Silver,Seasonic
Corsair RM650 (2019),4599.8,ATX,gold,650,Full,Black,Corsair
Montech APX,1098.0,ATX,plus,750,false,Black,Montech
SeaSonic CORE GX ATX 3 (2024),1999.6,ATX,gold,650,Full,Black,Seasonic
SeaSonic VERTEX PX-1200,6399.8,ATX,platinum,1200,Full,Black / Silver,Seasonic
Thermaltake Toughpower GF A3 - TT Premium Edition,2734.4,ATX,gold,1050,Full,Black,Thermaltake
Asus ROG LOKI,4799.8,SFX,platinum,850,Full,White / Silver,ASUS
Lian Li EDGE GOLD,9503.6,ATX,gold,1000,Full,White,Lian Li
