name,price,type,efficiency,wattage,modular,color,brand
Silverstone DA1000R,4911.6,ATX,gold,1000,Full,Black,SilverStone
FSP Group FSP300-57FCB,2599.8,Flex ATX,gold,300,Full,Black,FSP
Fractal Design Ion Gold,4162.2,ATX,gold,750,Full,Black,Fractal Design
Enermax Revolution D.F. X,2999.8,ATX,gold,1350,Full,Black,Enermax
"FSP Group Hydro PTM X PRO,Gen5",4199.8,ATX,platinum,1200,Full,Black,FSP
SeaSonic Prime Fanless PX-500,5101.39,ATX,platinum,500,Full,Black,Seasonic
Corsair HX1000i (2022),5200.0,ATX,platinum,1000,Full,Black,Corsair
SeaSonic VERTEX GX-750,2999.8,ATX,gold,750,Full,Black / Silver,Seasonic
Montech TITAN PLA,4392.39,ATX,platinum,1000,Full,White,Montech
Azza PSAZ-550W,1099.8,ATX,bronze,550,false,Black,Azza
Silverstone SX-G,3059.8,SFX,gold,700,Full,Black,SilverStone
ENDORFY Vero L5,1798.4,ATX,bronze,500,false,Black,Desconocida
Cooler Master MWE White V2 230V,2525.8,ATX,plus,700,false,Black,Cooler Master
Silverstone HELA 850R,4417.0,ATX,platinum,850,Full,Black / Silver,SilverStone
NZXT C650,1999.6,ATX,bronze,650,Semi,Black,NZXT
SeaSonic PRIME 1300 Gold,5799.6,ATX,gold,1300,Full,Black,Seasonic
Gigabyte UD1300GM PG5,4399.8,ATX,gold,1300,Full,Black,Gigabyte
GameMax RGB,3999.8,ATX,platinum,1300,Full,Black,GameMax
Silverstone Essential,1364.0,ATX,bronze,550,false,Black,SilverStone
EVGA SuperNOVA 1200 P3,7263.4,ATX,platinum,1200,Full,Black / Silver,EVGA
Antec NE1000G M White ATX 3.0,5663.6,ATX,gold,1000,Full,White,Antec
Montech TITAN PLA,2780.0,ATX,platinum,750,Full,White,Montech
Enermax PlatiGemini,5199.8,ATX,platinum,1200,Full,Black,Enermax
Silverstone TX700-G,4209.0,TFX,gold,700,false,Black,SilverStone
Thermaltake Smart RGB 230V,1489.6,ATX,plus,600,false,Black,Thermaltake
Cougar VTE,1530.8,ATX,bronze,600,false,Black,Cougar
Antec GSK ATX3.1,3461.39,ATX,gold,750,Full,Black,Antec
"FSP Group Hydro PTM X PRO,Gen5",3211.2,ATX,platinum,850,Full,Black,FSP
FSP Group FSP300-60LG,2671.8,Mini ITX,bronze,300,false,Black,FSP
Cooler Master V750 Gold V2,3878.0,ATX,gold,750,Full,Black,Cooler Master
Inter-Tech Argus RGB II,2131.39,ATX,bronze,500,false,Black,Desconocida
Montech CENTURY G5,1994.19,ATX,gold,750,Full,Black,Montech
Antec CSK,2538.0,ATX,bronze,550,false,Black / Yellow,Antec
SeaSonic PRIME TX,13467.2,ATX,titanium,1600,Full,Black / Silver,Seasonic
NOX URANO VX,1477.4,ATX,bronze,750,false,Black / Orange,Desconocida
Silverstone Strider Platinum S,5859.8,ATX,platinum,1200,Full,Black,SilverStone
Thermaltake Toughpower iRGB PLUS 750,2370.0,ATX,gold,750,Full,Black,Thermaltake
GameMax RGB Rainbow,3219.8,ATX,gold,1050,Full,Black,GameMax
GameMax RGB Pro,2799.8,ATX,gold,1050,Full,White,GameMax
Super Flower Zillion FG,2799.8,ATX,gold,1050,Full,Black,Super Flower
NZXT E850,2698.8,ATX,gold,850,Full,Black,NZXT
Cooler Master XG850 Plus,2919.8,ATX,platinum,850,Full,Black,Cooler Master
SHARKOON SilentStorm Cool Zero 650,3392.8,ATX,gold,650,Full,Black,Desconocida
Gigabyte AORUS P GM,3606.2,ATX,gold,750,Full,Black / Silver,Gigabyte
Cooler Master MWE Gold V2 ATX3.0,6260.0,ATX,gold,1250,Full,Black,Cooler Master
EVGA 500 BA,2199.79,ATX,bronze,500,false,Black,EVGA
SeaSonic VERTEX PX-750,6489.2,ATX,platinum,750,Full,Black / Silver,Seasonic
FSP Group Hydro PTM PRO,2799.8,ATX,platinum,850,Full,Black,FSP
Silverstone Strider Platinum S,4304.2,ATX,platinum,1000,Full,Black,SilverStone
SeaSonic FOCUS GX,9737.4,ATX,gold,1000,Full,Black,Seasonic
RAIJINTEK AMPERE,3258.0,ATX,platinum,1200,Full,Black,Desconocida
NZXT C (2019),4300.2,ATX,gold,850,Full,Black,NZXT
SeaSonic SSP-300SUG,2380.0,Flex ATX,gold,300,false,Silver,Seasonic
Razer Katana Chroma,7799.8,ATX,platinum,1200,Full,Black,Razer
RAIJINTEK AMPERE,2798.0,ATX,platinum,1000,Full,Black,Desconocida
Silverstone Essential,1839.6,ATX,gold,550,Semi,Black,SilverStone
Xilence XP750R6.2,1895.0,ATX,plus,750,false,Black,Desconocida
Antec NE1300G M ATX3.0,4733.39,ATX,gold,1300,Full,Black,Antec
RAIJINTEK AMPERE,3398.0,ATX,platinum,1200,Full,White,Desconocida
Thermaltake Toughpower GF1 PE,3399.8,ATX,gold,750,Full,Black,Thermaltake
Inter-Tech Argus RGB CM II,4276.6,ATX,gold,650,Semi,Black,Desconocida
Silverstone Essential,2150.2,ATX,gold,750,Semi,Black / Blue,SilverStone
MSI MAG A-GL PCIE5 II,3101.8,ATX,gold,1000,Full,Black,MSI
Silverstone Strider,9749.79,ATX,silver,1500,Full,Black,SilverStone
FSP Group Hydro PTM PRO,2599.8,ATX,platinum,750,Full,Black,FSP
Enermax MAXREVO SLI,2799.8,ATX,gold,1350,Full,Black / Gold,Enermax
Silverstone DA750 Gold,2974.4,ATX,gold,750,Full,Black / White,SilverStone
Antec High Current Gamer PRO ATX3.1,5854.0,ATX,platinum,1000,Full,Black,Antec
Inter-Tech Argus RGB CM II,4782.79,ATX,gold,750,Semi,Black,Desconocida
Chieftec ATMOS,4154.0,ATX,gold,850,Full,Black,Desconocida
Silverstone ST75F-GS-V3,2519.79,ATX,gold,750,Full,Black,SilverStone
Gigabyte UD850GM-A,2199.79,ATX,gold,850,Full,Black,Gigabyte
SHARKOON Rebel P20 SFX,9818.0,SFX,platinum,1000,Full,Black,Desconocida
Azza ARGB,1299.6,ATX,bronze,650,false,Black,Azza
FSP Group Hydro GE,1699.8,ATX,gold,650,Full,Black,FSP
PC Cooler YS850,2599.8,ATX,gold,850,Full,Black,Desconocida
Silverstone SX1000R-PL,6539.8,SFX,platinum,1000,Full,Black / White,SilverStone
Silverstone Essential,1906.4,ATX,gold,750,false,Black / Yellow,SilverStone
In Win P130II,4980.0,ATX,platinum,1300,Full,Black,In Win
EVGA 710 BP,4005.8,ATX,bronze,710,false,Black,EVGA
FSP Group FSP500-50FSPT,3979.8,Flex ATX,platinum,500,false,Silver,FSP
Chieftec ATMOS,3631.6,ATX,gold,750,Full,Black,Desconocida
Silverstone Strider Titanium,7279.8,ATX,titanium,1100,Full,Black / Blue,SilverStone
FSP Group FSP220-60LE(80),1599.6,Mini ITX,plus,220,false,Silver,FSP
Thermaltake Smart BM2,6549.8,ATX,bronze,750,Semi,Black,Thermaltake
Antec Signature Platinum,7698.0,ATX,platinum,1300,Full,Black,Antec
ADATA XPG FUSION 1600,11999.8,ATX,titanium,1600,Full,Black / Silver,XPG
be quiet! TFX Power 3 300,2879.4,TFX,gold,300,false,Black,be quiet!
PC Cooler YS1000,3599.8,ATX,gold,1000,Full,Black,Desconocida
Silverstone TX300,1819.4,TFX,bronze,300,false,Black,SilverStone
In Win P105II,3980.0,ATX,platinum,1050,Full,Black,In Win
In Win P85,4234.8,ATX,gold,850,Full,Black,In Win
Fractal Design Ion Gold,4760.0,ATX,gold,550,Full,Black,Fractal Design
Rosewill CFZ,1999.8,ATX,bronze,750,Semi,Black,Rosewill
Cougar GEX,3180.0,ATX,gold,1050,Full,Black,Cougar
Inter-Tech Argus RGB II,3844.4,ATX,bronze,600,false,Black,Desconocida
Cougar POLAR,3999.8,ATX,platinum,1200,Full,White,Cougar
FSP Group Hydro PTM PRO,4999.8,ATX,platinum,1000,Full,Black,FSP
Thermaltake Toughpower PF1 - TT Premium Edition,7244.4,ATX,platinum,1050,Full,Black,Thermaltake
Inter-Tech Argus RGB II,3476.0,ATX,bronze,700,false,Black,Desconocida
Cougar POLAR,4180.0,ATX,platinum,1050,Full,White,Cougar
Xilence XP1250MR9.2,9501.0,ATX,gold,1250,Full,Black / Red,Desconocida
In Win P65,2620.0,ATX,gold,650,Full,Black,In Win
Athena Power APOLLO 600,4616.8,SFX,bronze,600,false,Black,Desconocida
SHARKOON SilentStorm,3139.4,SFX,bronze,450,false,Black,Desconocida
Xilence XP550R9,3160.0,ATX,gold,550,false,Black / Red,Desconocida
Rosewill PMG750,2299.79,ATX,gold,750,Full,Black,Rosewill
Chieftec Polaris 3.0,4401.8,ATX,gold,1050,Full,Black,Desconocida
Xilence XP750R12.ARGB,4171.39,ATX,gold,750,false,Black,Desconocida
In Win IP-S300FF1-0,1318.8,TFX,plus,300,false,Silver,In Win
Chieftec Polaris 3.0,5636.6,ATX,gold,850,Full,Black,Desconocida
SeaSonic SS-600ES,2580.19,ATX,bronze,600,false,Gray,Seasonic
SeaSonic SSP-300TBS,1769.4,TFX,bronze,300,false,Silver,Seasonic
SeaSonic SS-300TFX Bronze,1799.8,TFX,bronze,300,false,Silver,Seasonic
FSP Group FSP300-60LG-5K,2274.79,Flex ATX,bronze,300,false,Silver,FSP
Athena Power AP-MFATX50P8,3407.6,Flex ATX,silver,500,false,Silver,Desconocida
