name,price,speed,color,cas_latency,module_count,module_capacity_gb,brand
Corsair Vengeance LPX 32 GB,2599.8,"4,4000",Black / Yellow,18.0,2,16,Corsair
Corsair Vengeance RGB Pro SL 64 GB,4399.8,"4,3600",White,18.0,4,16,Corsair
Corsair Vengeance RGB Pro 64 GB,4399.8,"4,3600",Black,18.0,4,16,Corsair
Corsair Dominator Titanium 48 GB,4679.8,"5,6000",Black,30.0,2,24,Corsair
Patriot Viper Xtreme 5 RGB 32 GB,2939.8,"5,8000",Black,38.0,2,16,Patriot
G.Skill Trident Z5 Neo RGB 32 GB,2239.6,"5,5600",Black,28.0,2,16,G.Skill
GOODRAM IRDM PRO 32 GB,2934.4,"4,3600",Black,18.0,2,16,GOODRAM
Corsair Vengeance RGB Pro SL 32 GB,2819.8,"4,3200",White / Black,16.0,2,16,Corsair
ADATA XPG LANCER RGB 32 GB,3899.8,"5,6000",Black,30.0,2,16,ADATA
G.Skill Trident Z5 RGB 48 GB,3799.8,"5,7200",Black,36.0,2,24,G.Skill
Crucial Pro Overclocking 16 GB,1613.6,"5,6000",Black,36.0,1,16,Crucial
Kingston FURY Beast 32 GB,5330.8,"5,4800",Black / Silver,38.0,2,16,Kingston
G.Skill Trident Z Neo 64 GB,3399.8,"4,3600",Silver / Black,18.0,2,32,G.Skill
Corsair Vengeance LPX 32 GB,1657.8,"4,2400",Black / Yellow,16.0,2,16,Corsair
G.Skill Ripjaws S5 32 GB,2399.79,"5,6800",Black,34.0,2,16,G.Skill
Kingston FURY Beast 64 GB,4419.8,"5,6000",Black / Silver,36.0,2,32,Kingston
Corsair Dominator Titanium 64 GB,6599.8,"5,6400",Black,32.0,2,32,Corsair
Corsair Vengeance RGB 96 GB,6997.0,"5,6400",Black / Silver,32.0,2,48,Corsair
Patriot Viper Venom 32 GB,3085.6,"5,6600",Black / White,34.0,2,16,Patriot
Corsair Vengeance LPX 16 GB,1619.6,"4,3600",Black,18.0,1,16,Corsair
TEAMGROUP T-Create Expert 96 GB,6919.8,"5,6800",Black,36.0,2,48,TeamGroup
G.Skill Trident Z5 Neo RGB 48 GB,3399.8,"5,6400",White / Black,32.0,2,24,G.Skill
Corsair Vengeance RGB 48 GB,4279.8,"5,7600",Black,36.0,2,24,Corsair
Corsair Vengeance LPX 32 GB,2579.8,"4,3000",Black,16.0,2,16,Corsair
Samsung Green 8 GB,479.79,"4,2133",Green / Black,15.0,1,8,Samsung
ADATA XPG SPECTRIX D35G RGB 16 GB,1765.2,"4,3600",Black,18.0,2,8,ADATA
TEAMGROUP Elite 16 GB,759.8,"5,5600",Black,46.0,1,16,TeamGroup
G.Skill Trident Z5 Neo RGB 64 GB,4399.8,"5,6000",Black / Silver,32.0,2,32,G.Skill
Patriot Viper Elite 5 RGB 64 GB,3599.8,"5,6200",White,42.0,2,32,Patriot
Patriot Viper Venom RGB 16 GB,1059.8,"5,6000",Black / White,30.0,1,16,Patriot
G.Skill Trident Z5 RGB 48 GB,2799.8,"5,6400",Black,36.0,2,24,G.Skill
Corsair Dominator Titanium 32 GB,4199.8,"5,7000",Black,34.0,2,16,Corsair
G.Skill Flare X5 32 GB,2299.79,"5,6000",Black,30.0,2,16,G.Skill
G.Skill Ripjaws M5 RGB 32 GB,1959.8,"5,6400",Black,36.0,2,16,G.Skill
Corsair Vengeance RGB RS 32 GB,2759.8,"4,3200",Black / Gray,16.0,2,16,Corsair
TEAMGROUP Elite 32 GB,1579.6,"5,4800",Black,40.0,2,16,TeamGroup
Corsair Vengeance RGB Pro SL 16 GB,1199.8,"4,3600",White / Black,18.0,2,8,Corsair
Corsair Vengeance LPX 16 GB,1479.6,"4,3000",Black,16.0,2,8,Corsair
Crucial CT8G4DFRA266 8 GB,379.6,"4,2666",Green,19.0,1,8,Crucial
Corsair Dominator Titanium 48 GB,4999.8,"5,7200",Black,36.0,2,24,Corsair
Patriot Signature Premium 16 GB,859.8,"4,2666",Black,19.0,2,8,Patriot
Thermaltake TOUGHRAM XG RGB D5 32 GB,3099.6,"5,6000",Black / Silver,36.0,2,16,Thermaltake
TEAMGROUP T-Create Classic 16 GB,799.8,"4,3200",Silver,22.0,2,8,TeamGroup
Kingston FURY Beast 32 GB,2865.4,"4,3600",Black,17.0,1,32,Kingston
G.Skill Trident Z5 Neo RGB 32 GB,2699.8,"5,7200",Silver / Black,34.0,2,16,G.Skill
G.Skill Trident Z Neo 32 GB,1899.8,"4,3600",Black / Silver,18.0,2,16,G.Skill
G.Skill Trident Z Royal 32 GB,2399.79,"4,4000",Silver,18.0,2,16,G.Skill
G.Skill Ripjaws V 16 GB,1059.8,"4,4000",Black,18.0,2,8,G.Skill
G.Skill Flare X5 64 GB,2859.8,"5,5200",Black / White,36.0,2,32,G.Skill
Corsair Dominator Platinum RGB 64 GB,5739.8,"5,5600",Black,36.0,4,16,Corsair
Kingston FURY Renegade 32 GB,3094.4,"4,3600",Silver / Black,16.0,2,16,Kingston
Crucial CT32G4DFD832A 32 GB,1959.6,"4,3200",Green / Black,22.0,1,32,Crucial
Patriot Viper Venom 32 GB,1479.6,"5,5600",Black / White,36.0,1,32,Patriot
G.Skill Ripjaws V 32 GB,1399.6,"4,2400",Red,15.0,2,16,G.Skill
Kingston FURY Beast RGB 64 GB,5629.8,"5,6400",White,32.0,2,32,Kingston
Kingston FURY Beast 8 GB,679.8,"5,5600",Black,40.0,1,8,Kingston
Corsair Vengeance LPX 8 GB,739.8,"4,3000",Black,16.0,1,8,Corsair
Corsair Dominator Platinum RGB 64 GB,5999.8,"5,6600",Black,32.0,2,32,Corsair
Corsair Vengeance LPX 8 GB,919.59,"4,3200",Black / Yellow,16.0,1,8,Corsair
G.Skill Trident Z5 Neo RGB 48 GB,4399.8,"5,8000",Black,40.0,2,24,G.Skill
Crucial CT2KIT51264BD160B 8 GB,417.8,"3,1600",Green,11.0,2,4,Crucial
Corsair Vengeance RGB 32 GB,2699.8,"5,7000",Black / Gray,36.0,2,16,Corsair
G.Skill Trident Z5 Neo RGB 32 GB,2499.79,"5,6000",Black,32.0,2,16,G.Skill
G.Skill Ripjaws V 64 GB,3099.8,"4,3200",Black,16.0,2,32,G.Skill
G.Skill Trident Z Royal 16 GB,1599.6,"4,3200",Silver,16.0,2,8,G.Skill
Corsair Vengeance 32 GB,2859.8,"5,7000",Black / Silver,40.0,2,16,Corsair
TEAMGROUP T-Force Delta RGB 48 GB,3139.8,"5,6400",White,32.0,2,24,TeamGroup
G.Skill Trident Z5 RGB 48 GB,4499.8,"5,8000",Black,38.0,2,24,G.Skill
Corsair Dominator Titanium 32 GB,3779.8,"5,6400",White,32.0,2,16,Corsair
G.Skill Aegis 32 GB,1499.8,"4,2666",Black / Red,19.0,2,16,G.Skill
TEAMGROUP T-Force Vulcan 64 GB,3399.8,"5,6000",Black,38.0,2,32,TeamGroup
Patriot Viper Elite II 32 GB,1699.8,"4,3200",Red / Black,18.0,2,16,Patriot
ADATA XPG GAMMIX D20 16 GB,759.8,"4,3200",Black / Silver,16.0,2,8,ADATA
Corsair Vengeance RGB 32 GB,3179.8,"5,6600",Black,32.0,2,16,Corsair
G.Skill Ripjaws S5 32 GB,1759.8,"5,5600",Black,36.0,2,16,G.Skill
Kingston FURY Beast RGB 8 GB,779.8,"5,5200",Black,40.0,1,8,Kingston
Patriot Venom RGB 64 GB,3799.8,"5,6000",Black,30.0,2,32,Patriot
Corsair Dominator Platinum RGB 64 GB,5799.8,"5,6000",Black,30.0,2,32,Corsair
Patriot Viper 3 16 GB,519.79,"3,1600",Black / Silver,9.0,2,8,Patriot
Kingston KVR21R15D4K4/64 64 GB,2171.39,"4,2133",Black / Green,15.0,4,16,Kingston
Corsair Vengeance 96 GB,7598.0,"5,6000",Black,30.0,4,24,Corsair
Kingston FURY Beast RGB 32 GB,2919.8,"5,6400",Black,32.0,2,16,Kingston
TEAMGROUP T-Force Vulcan Z 8 GB,910.0,"4,3200",Black,16.0,1,8,TeamGroup
OLOy WarHawk RGB 16 GB,879.8,"4,3200",Black / Gold,16.0,2,8,OLOy
Corsair Dominator Titanium 64 GB,6599.8,"5,6400",White,32.0,2,32,Corsair
TEAMGROUP T-Create Expert 64 GB,5162.0,"4,3200",Gray,16.0,2,32,TeamGroup
Kingston FURY Beast RGB 32 GB,2278.19,"5,5600",White,36.0,2,16,Kingston
G.Skill Value 8 GB,516.79,"4,2400",Black,17.0,2,4,G.Skill
G.Skill Ripjaws S5 64 GB,2999.8,"5,5600",White,36.0,2,32,G.Skill
Corsair Vengeance 96 GB,6799.8,"5,6800",Black,40.0,2,48,Corsair
Corsair Vengeance RGB 96 GB,7579.8,"5,6800",Black / Silver,40.0,2,48,Corsair
Patriot Viper Venom RGB 16 GB,959.8,"5,5600",Black / White,36.0,1,16,Patriot
Corsair Vengeance 32 GB,2199.79,"5,6000",White / Gray,36.0,2,16,Corsair
Patriot Viper Venom RGB 32 GB,1699.8,"5,5600",Black / White,36.0,2,16,Patriot
Corsair Vengeance RGB 64 GB,3399.8,"5,5200",White / Gray,40.0,2,32,Corsair
G.Skill Ripjaws M5 RGB 32 GB,2299.79,"5,6400",Black,32.0,2,16,G.Skill
Kingston Fury Renegade RGB 64 GB,5559.6,"5,6400",Silver / Black,32.0,2,32,Kingston
ADATA XPG GAMMIX D10 8 GB,983.0,"4,3200",Black,16.0,1,8,ADATA
G.Skill Trident Z5 Neo 32 GB,2199.79,"5,5600",Black,28.0,2,16,G.Skill
G.Skill Ripjaws V 128 GB,6199.8,"4,3600",Black,18.0,4,32,G.Skill
Corsair Vengeance LPX 16 GB,1439.6,"4,3200",White,16.0,2,8,Corsair
TEAMGROUP T-Force Delta RGB 32 GB,1639.8,"5,5600",White,38.0,2,16,TeamGroup
Timetec FBA_75TT160UL1R8-4G 16 GB,339.6,"3,1600",Black,11.0,2,8,Timetec
TEAMGROUP T-Force Delta RGB 64 GB,3599.8,"5,6000",White,38.0,2,32,TeamGroup
Kingston FURY 128 GB,7860.0,"5,5200",White,40.0,4,32,Kingston
Kingston FURY Beast 32 GB,2643.8,"4,3200",Black,16.0,2,16,Kingston
Corsair Vengeance 48 GB,3599.8,"5,6000",White / Gray,30.0,2,24,Corsair
G.Skill Trident Z5 Neo RGB 48 GB,5299.8,"5,6000",White / Black,26.0,2,24,G.Skill
G.Skill Ripjaws M5 RGB 32 GB,2299.79,"5,6400",White,32.0,2,16,G.Skill
TEAMGROUP T-Create Expert 96 GB,6919.8,"5,6800",White,36.0,2,48,TeamGroup
Corsair Vengeance RGB 32 GB,1999.8,"5,6400",Black / Gray,36.0,2,16,Corsair
Crucial CT16G4DFD824A 16 GB,700.0,"4,2400",Green / Black,17.0,1,16,Crucial
G.Skill Ripjaws S5 64 GB,3199.8,"5,5200",Black,40.0,2,32,G.Skill
Kingston FURY 64 GB,4859.8,"5,5600",White,40.0,4,16,Kingston
TEAMGROUP Xtreem 32 GB,2119.79,"5,6000",Black,30.0,2,16,TeamGroup
G.Skill Ripjaws S5 48 GB,2099.79,"5,5200",Black,40.0,2,24,G.Skill
G.Skill Trident Z5 32 GB,2299.79,"5,6000",Black,30.0,2,16,G.Skill
TEAMGROUP T-Force Delta RGB Eco 32 GB,1699.8,"5,6000",Silver,38.0,2,16,TeamGroup
TEAMGROUP T-Force Delta RGB 32 GB,1759.8,"5,5200",White,40.0,2,16,TeamGroup
G.Skill Trident Z Neo 32 GB,1919.8,"4,4000",Black / Silver,18.0,2,16,G.Skill
Kingston FURY Beast RGB 64 GB,5399.8,"5,6400",Black,32.0,2,32,Kingston
TEAMGROUP Elite Plus 16 GB,819.8,"5,5600",Black,40.0,1,16,TeamGroup
G.Skill Trident Z Royal 128 GB,9291.79,"4,4000",Silver,18.0,4,32,G.Skill
Corsair Vengeance 32 GB,2781.8,"5,6400",White / Gray,32.0,2,16,Corsair
ADATA XPG Lancer Blade 32 GB,3258.6,"5,6000",White,30.0,2,16,ADATA
Kingston FURY Beast RGB 64 GB,4445.0,"5,6000",Black,36.0,2,32,Kingston
Corsair Vengeance LPX 64 GB,2899.8,"4,2666",Black / Yellow,16.0,4,16,Corsair
PNY Performance 16 GB,639.79,"4,3200",Black,22.0,1,16,PNY
Corsair Vengeance 64 GB,5519.8,"5,6200",Black / Gray,32.0,4,16,Corsair
Samsung M386A4G40DM0-CPB 32 GB,999.8,"4,2133",Black / Green,15.0,1,32,Samsung
Corsair Vengeance RGB Pro 8 GB,1059.59,"4,3200",Black,16.0,1,8,Corsair
Kingston KVR1333D3N9HK2/8G 8 GB,999.8,"3,1333",Green,9.0,2,4,Kingston
Corsair Vengeance 32 GB,2489.79,"5,6000",Black,36.0,2,16,Corsair
Corsair Vengeance RGB 32 GB,2399.79,"5,6000",White / Silver,36.0,2,16,Corsair
Patriot Viper Xtreme 5 RGB 48 GB,3159.8,"5,7600",Black,36.0,2,24,Patriot
Patriot Viper Xtreme 5 RGB 32 GB,2559.79,"5,7600",Black,36.0,2,16,Patriot
Corsair Dominator Platinum RGB 64 GB,6399.8,"5,6400",Black,32.0,2,32,Corsair
Corsair Vengeance 32 GB,2179.79,"5,6200",Black,36.0,2,16,Corsair
Corsair Vengeance 8 GB,1219.59,"3,1600",Black / Silver,9.0,2,4,Corsair
G.Skill TridentZ RGB 16 GB,3780.0,"4,4000",Black,17.0,2,8,G.Skill
TEAMGROUP T-Force Xtreem 32 GB,3099.8,"5,7600",Pink,36.0,2,16,TeamGroup
PNY XLR8 Gaming EPIC-X RGB 16 GB,799.8,"4,3600",Black,18.0,2,8,PNY
TEAMGROUP T-Force Vulcanα 32 GB,1649.8,"5,5600",Black / Silver,40.0,2,16,TeamGroup
Corsair Vengeance RGB 32 GB,2359.79,"5,6200",Black,36.0,2,16,Corsair
Kingston Fury Renegade RGB 96 GB,7399.8,"5,6400",Silver / Black,32.0,2,48,Kingston
Kingston KCP424SS6/4 4 GB,100.0,"4,2400",Green / Black,17.0,1,4,Kingston
Corsair Vengeance RGB 64 GB,3380.0,"5,5200",Black / Gray,40.0,2,32,Corsair
ADATA XPG LANCER RGB 64 GB,5925.4,"5,6400",Black,32.0,2,32,ADATA
Corsair Vengeance LPX 16 GB,755.8,"4,2400",Black,14.0,1,16,Corsair
Corsair Vengeance LPX 16 GB,1459.6,"4,3200",Black / Yellow,16.0,1,16,Corsair
G.Skill Trident Z5 32 GB,1959.8,"5,6000",Black,36.0,2,16,G.Skill
G.Skill Ripjaws M5 RGB 32 GB,1799.8,"5,5200",Black,40.0,2,16,G.Skill
Corsair Vengeance RGB 96 GB,5899.8,"5,6000",Black,40.0,4,24,Corsair
Kingston FURY Beast 16 GB,1300.0,"5,4800",Black,38.0,2,8,Kingston
Patriot Signature Premium 8 GB,399.6,"4,2400",Black,17.0,1,8,Patriot
TEAMGROUP T-Force DELTAα RGB 32 GB,1849.8,"5,6000",Black,38.0,2,16,TeamGroup
G.Skill Trident Z Neo 32 GB,2339.79,"4,3600",Silver / Black,18.0,4,8,G.Skill
Timetec PINNACLE Konduit 16 GB,619.79,"4,3600",White,18.0,1,16,Timetec
G.Skill Trident Z Royal 128 GB,15980.0,"4,3600",Gold,16.0,4,32,G.Skill
Kingston FURY Beast 32 GB,2786.8,"5,6000",White,30.0,2,16,Kingston
G.Skill Ripjaws M5 RGB 64 GB,3099.8,"5,5200",White,40.0,2,32,G.Skill
TEAMGROUP T-Force Delta RGB 64 GB,3599.8,"5,6000",Black,38.0,2,32,TeamGroup
TEAMGROUP T-Force Delta RGB 32 GB,3199.8,"5,8000",Black / Silver,38.0,2,16,TeamGroup
G.Skill Trident Z RGB 16 GB,1139.8,"4,3000",Black,16.0,2,8,G.Skill
Kingston Server Premier 32 GB,3659.8,"5,5600",Green / Black,46.0,1,32,Kingston
Kingston FURY Beast RGB 32 GB,2995.4,"5,6000",Black,30.0,2,16,Kingston
G.Skill Trident Z5 RGB 48 GB,4580.6,"5,6000",Black,40.0,2,24,G.Skill
G.Skill Ripjaws M5 RGB 32 GB,1999.8,"5,6000",White,36.0,2,16,G.Skill
Corsair Vengeance RGB 64 GB,3799.8,"5,5600",Black / Gray,40.0,2,32,Corsair
Corsair Vengeance 64 GB,2999.8,"5,5200",Gray,40.0,2,32,Corsair
Corsair Vengeance LPX 32 GB,2499.79,"4,2400",Black / Yellow,14.0,2,16,Corsair
Timetec PINNACLE Konduit RGB 16 GB,799.8,"4,3600",White,18.0,2,8,Timetec
Samsung M393A8G40MB2-CVF 64 GB,2999.8,"4,2933",Green / Black,21.0,1,64,Samsung
G.Skill Trident Z5 Neo RGB 48 GB,5689.0,"5,6000",Black,40.0,2,24,G.Skill
G.Skill Trident Z RGB 16 GB,1179.8,"4,4000",Black,18.0,2,8,G.Skill
Thermaltake TOUGHRAM XG RGB D5 32 GB,3099.6,"5,6000",White / Silver,36.0,2,16,Thermaltake
Corsair Vengeance RGB 96 GB,7959.8,"5,6400",Black / Gray,32.0,4,24,Corsair
PNY Performance 8 GB,326.39,"4,3200",Black,22.0,1,8,PNY
G.Skill Trident Z5 RGB 32 GB,1859.8,"5,5600",Black,36.0,2,16,G.Skill
TEAMGROUP T-Force Delta RGB 32 GB,2759.8,"5,7600",Black / Silver,36.0,2,16,TeamGroup
G.Skill Trident Z5 Royal 32 GB,3199.8,"5,7600",Silver,36.0,2,16,G.Skill
G.Skill Value 4 GB,294.4,"3,1600",Green,11.0,1,4,G.Skill
TEAMGROUP Xtreem 32 GB,2439.79,"5,7200",Black,34.0,2,16,TeamGroup
G.Skill Ripjaws V 32 GB,1399.6,"4,3200",Black,16.0,1,32,G.Skill
Klevv CRAS X RGB 16 GB,1039.8,"4,3600",Black,18.0,2,8,Klevv
TEAMGROUP T-Force Delta RGB 16 GB,879.8,"4,3200",Black,16.0,2,8,TeamGroup
Patriot Viper Elite 5 RGB 48 GB,2799.8,"5,6000",White,42.0,2,24,Patriot
Corsair Dominator Platinum RGB 32 GB,3728.39,"4,3600",White,18.0,4,8,Corsair
TEAMGROUP T-Force Vulcan 16 GB,1711.8,"5,5200",Red,40.0,1,16,TeamGroup
Samsung M393A4K40CB1-CRC 32 GB,1199.59,"4,2400",Green / Black,17.0,1,32,Samsung
G.Skill Trident Z5 Royal 32 GB,3699.8,"5,7200",Gold,34.0,2,16,G.Skill
G.Skill Flare X5 48 GB,2659.8,"5,6000",Black,40.0,2,24,G.Skill
Kingston FURY Beast 32 GB,2477.4,"5,6000",Black,30.0,1,32,Kingston
Silicon Power XPOWER Storm RGB 64 GB,3199.8,"5,6000",Gray,38.0,2,32,Silicon Power
Crucial Ballistix Elite 16 GB,3199.2,"4,2666",Black,16.0,2,8,Crucial
Corsair Dominator Titanium 32 GB,3779.8,"5,6400",Black,32.0,2,16,Corsair
Kingston FURY Beast 64 GB,3499.8,"5,5200",Black,40.0,2,32,Kingston
Corsair Dominator Platinum RGB 32 GB,4219.8,"5,7600",Black,36.0,2,16,Corsair
Kingston FURY Beast 8 GB,698.0,"5,5200",Black,40.0,1,8,Kingston
G.Skill Trident Z5 RGB 64 GB,4399.8,"5,6000",White / Black,30.0,2,32,G.Skill
G.Skill Ripjaws S5 32 GB,2199.79,"5,6000",White,30.0,2,16,G.Skill
Kingston FURY Beast 64 GB,4818.6,"5,6000",Black,30.0,2,32,Kingston
Corsair Vengeance RGB Pro 32 GB,2699.8,"4,3600",Black,18.0,4,8,Corsair
TEAMGROUP T-Force Delta RGB 48 GB,4999.8,"5,8200",Black,38.0,2,24,TeamGroup
Corsair Vengeance 32 GB,1979.8,"5,5600",Black / Gray,40.0,1,32,Corsair
Kingston FURY Renegade 96 GB,7969.8,"5,6400",Silver / Black,32.0,2,48,Kingston
Crucial CT8G4DFS8213 8 GB,380.0,"4,2133",Black / Green,15.0,1,8,Crucial
Kingston FURY Beast RGB 32 GB,2791.2,"5,6000",White,36.0,2,16,Kingston
Patriot Viper Steel RGB 64 GB,3459.8,"4,3600",Black,20.0,2,32,Patriot
TEAMGROUP T-Force Delta RGB 48 GB,3599.8,"5,7200",Black,34.0,2,24,TeamGroup
Kingston FURY Beast 64 GB,5600.0,"4,3600",Black / Silver,18.0,2,32,Kingston
Kingston FURY Beast 16 GB,1116.0,"5,5600",Black,36.0,1,16,Kingston
Samsung M471B5273DH0-CK0 4 GB,205.0,"3,1600",Green,11.0,1,4,Samsung
Corsair Vengeance RGB 48 GB,4039.8,"5,6000",Black / Silver,30.0,2,24,Corsair
Crucial CT2K16G4RFD4213 32 GB,1125.0,"4,2133",Green,15.0,2,16,Crucial
Corsair Vengeance LPX 8 GB,698.6,"4,2666",Black / Yellow,16.0,2,4,Corsair
Kingston FURY 128 GB,5499.8,"5,5200",White,40.0,4,32,Kingston
TEAMGROUP T-Force Delta RGB 48 GB,4299.8,"5,8000",White,38.0,2,24,TeamGroup
TEAMGROUP T-Force Vulcan 32 GB,1759.8,"5,5600",Black,36.0,2,16,TeamGroup
Corsair Dominator Titanium 48 GB,4799.8,"5,7000",White,36.0,2,24,Corsair
Corsair Vengeance 32 GB,2214.6,"5,6000",Black,40.0,2,16,Corsair
Patriot Viper Elite 5 RGB 32 GB,2159.79,"5,7000",White,38.0,2,16,Patriot
G.Skill Ripjaws M5 RGB 32 GB,1799.8,"5,5200",White,40.0,2,16,G.Skill
Kingston FURY Beast RGB 64 GB,3599.8,"5,5600",Black,36.0,2,32,Kingston
ADATA Premier 16 GB,1149.0,"5,4800",Black,40.0,1,16,ADATA
ADATA XPG SPECTRIX D35G RGB 16 GB,1940.2,"4,3200",Black,16.0,1,16,ADATA
Timetec PINNACLE Konduit RGB 16 GB,739.8,"4,3200",White,16.0,2,8,Timetec
Crucial CT2K32G56C46S5 64 GB,4926.6,"5,5600",Black,46.0,2,32,Crucial
G.Skill Ripjaws S5 32 GB,2099.79,"5,6000",Black,32.0,2,16,G.Skill
Corsair Dominator Platinum RGB 32 GB,2819.8,"5,5200",Black / Silver,40.0,2,16,Corsair
G.Skill Aegis 16 GB,694.4,"4,2400",Black / Red,17.0,2,8,G.Skill
G.Skill Flare X5 32 GB,2676.0,"5,5600",Black,30.0,2,16,G.Skill
TEAMGROUP T-Force Vulcan 64 GB,3319.8,"5,6000",Red,38.0,2,32,TeamGroup
Corsair Vengeance 48 GB,2679.8,"5,5200",Black,38.0,2,24,Corsair
Corsair Vengeance RGB 48 GB,3899.8,"5,7200",Black,36.0,2,24,Corsair
Corsair Vengeance RGB 96 GB,8013.8,"5,6000",Black,30.0,4,24,Corsair
Crucial CT102464BD160B 8 GB,339.6,"3,1600",Black / Green,11.0,1,8,Crucial
Crucial CT8G4DFD8213 8 GB,499.79,"4,2133",Black / Green,15.0,1,8,Crucial
TEAMGROUP Xtreem 48 GB,4359.8,"5,8000",Black,38.0,2,24,TeamGroup
Kingston FURY Beast RGB 16 GB,1720.8,"5,6000",Black,30.0,2,8,Kingston
ADATA XPG SPECTRIX D35G RGB 32 GB,2631.6,"4,3600",Black,18.0,2,16,ADATA
Corsair Vengeance 32 GB,2859.8,"5,6600",Black,32.0,2,16,Corsair
ADATA XPG Lancer Blade RGB 64 GB,6549.4,"5,6000",Black,30.0,2,32,ADATA
G.Skill Trident Z5 Royal Neo RGB 32 GB,3999.8,"5,8000",Gold,38.0,2,16,G.Skill
Klevv CRAS X RGB 32 GB,1759.8,"4,3600",Black,18.0,2,16,Klevv
Corsair Vengeance 64 GB,3959.8,"5,5600",Black / Gray,40.0,2,32,Corsair
Patriot Viper Steel 16 GB,719.8,"4,3600",Gray,18.0,1,16,Patriot
ADATA XPG Lancer Blade 64 GB,6795.0,"5,6000",Black,30.0,2,32,ADATA
Corsair Vengeance 64 GB,3219.8,"5,4400",Black / Gray,36.0,2,32,Corsair
Patriot Viper Venom 32 GB,1459.6,"5,5200",Black / White,36.0,1,32,Patriot
Corsair Dominator Platinum RGB 64 GB,3999.8,"5,5200",Black,40.0,2,32,Corsair
Corsair Vengeance RGB 64 GB,5440.0,"5,6200",Black / Gray,32.0,4,16,Corsair
G.Skill Trident Z5 RGB 32 GB,2739.8,"5,6800",Black / Silver,34.0,2,16,G.Skill
TEAMGROUP Elite 16 GB,819.8,"5,4800",Black,40.0,1,16,TeamGroup
G.Skill Trident Z5 64 GB,4099.8,"5,6000",Black,32.0,2,32,G.Skill
TEAMGROUP T-Create Classic 32 GB,1759.8,"5,6000",Black,48.0,2,16,TeamGroup
Kingston FURY Beast RGB 32 GB,2379.79,"5,5600",Black,40.0,2,16,Kingston
G.Skill Ripjaws S5 64 GB,3599.8,"5,5600",Black,30.0,2,32,G.Skill
G.Skill Trident Z5 RGB 48 GB,2199.79,"5,5600",Black,40.0,2,24,G.Skill
Corsair Vengeance RGB Pro 16 GB,1759.8,"4,3600",Black,18.0,1,16,Corsair
TEAMGROUP T-Create Classic 64 GB,3199.8,"5,6000",Black,48.0,2,32,TeamGroup
Klevv BOLT V 32 GB,2059.79,"5,6800",Black,34.0,2,16,Klevv
Corsair Vengeance LPX 32 GB,1651.2,"4,3000",Black / Yellow,16.0,1,32,Corsair
Kingston FURY Renegade 48 GB,3479.8,"5,6000",Silver / Black,32.0,1,48,Kingston
TEAMGROUP T-Force Delta RGB 48 GB,4999.8,"5,8200",White,38.0,2,24,TeamGroup
Patriot Viper Steel RGB 16 GB,1059.8,"4,3600",Black,20.0,2,8,Patriot
Corsair Vengeance 16 GB,2981.2,"3,1600",Black / Yellow,9.0,4,4,Corsair
V-Color TRA564G60D434Q 256 GB,36799.8,"5,6000",White,34.0,4,64,V-Color
Corsair Vengeance RGB Pro SL 16 GB,1199.8,"4,3200",Black,16.0,2,8,Corsair
Corsair Vengeance RGB 32 GB,2699.8,"5,6800",Black,40.0,2,16,Corsair
Kingston FURY Renegade 32 GB,2899.8,"5,6400",Silver / Black,32.0,2,16,Kingston
Kingston FURY Beast RGB 64 GB,3999.8,"5,5600",Black,40.0,2,32,Kingston
Kingston FURY Renegade 32 GB,3492.8,"5,6400",White / Silver,32.0,2,16,Kingston
Crucial Pro Overclocking 16 GB,1139.8,"5,6000",White,36.0,1,16,Crucial
TEAMGROUP Elite 8 GB,359.6,"4,2666",Black,19.0,1,8,TeamGroup
G.Skill Trident Z Neo 256 GB,12599.8,"4,3600",Silver / Black,18.0,8,32,G.Skill
G.Skill Ripjaws M5 Neo RGB 32 GB,1839.8,"5,6000",White,36.0,2,16,G.Skill
G.Skill Flare X5 96 GB,4799.8,"5,5600",Black,40.0,2,48,G.Skill
Corsair Dominator Titanium First Edition 64 GB,6579.8,"5,6600",White,32.0,2,32,Corsair
G.Skill Trident Z5 RGB 64 GB,4799.8,"5,6400",Silver / Black,32.0,2,32,G.Skill
Corsair Vengeance RGB 32 GB,2759.8,"5,6000",Black / Silver,36.0,2,16,Corsair
Corsair Vengeance RGB Pro 128 GB,7636.2,"4,3200",Black,16.0,4,32,Corsair
Corsair Dominator Platinum RGB 32 GB,3999.8,"5,7200",Black,34.0,2,16,Corsair
G.Skill Flare X5 48 GB,2099.79,"5,5200",Black,40.0,2,24,G.Skill
G.Skill Ripjaws S5 64 GB,2859.8,"5,5200",Black,36.0,2,32,G.Skill
G.Skill Trident Z5 64 GB,5219.6,"5,6000",Black,30.0,2,32,G.Skill
G.Skill Trident Z5 RGB 32 GB,1959.8,"5,6000",Silver / Black,36.0,2,16,G.Skill
Kingston FURY Beast RGB 64 GB,3559.6,"4,3600",Black,18.0,2,32,Kingston
G.Skill Ripjaws M5 RGB 64 GB,4599.8,"5,6400",Black,32.0,2,32,G.Skill
Corsair Vengeance 32 GB,2199.79,"5,5600",Gray,36.0,2,16,Corsair
Patriot Viper Elite II 16 GB,879.8,"4,3200",Red / Black,18.0,2,8,Patriot
G.Skill Trident Z5 RGB 32 GB,4203.0,"5,6000",White / Black,30.0,2,16,G.Skill
