name,price,speed,color,cas_latency,module_count,module_capacity_gb,brand
Crucial CP2K64G56C46U5 128 GB,5999.8,"5,5600",Black,46.0,2,64,Crucial
TEAMGROUP T-Create Expert 32 GB,1759.8,"5,6000",Black,38.0,2,16,TeamGroup
Patriot Viper Venom 32 GB,1759.8,"5,6400",Black / White,32.0,2,16,Patriot
G.Skill Flare X5 32 GB,2559.79,"5,6000",Black,28.0,2,16,G.Skill
Crucial Pro 32 GB,1639.8,"5,6400",Black,38.0,2,16,Crucial
Corsair Vengeance RGB 128 GB,11039.8,"5,5600",Black,40.0,4,32,Corsair
Corsair Vengeance RGB Pro SL 32 GB,2199.79,"4,3600",White / Black,18.0,2,16,Corsair
Corsair Dominator Titanium 96 GB,8499.79,"5,6600",Black,32.0,2,48,Corsair
Corsair Vengeance 64 GB,4599.8,"5,6400",Black / Gray,32.0,2,32,Corsair
Kingston FURY Beast 16 GB,1359.6,"5,6000",Black,30.0,2,8,Kingston
TEAMGROUP T-Create Classic 32 GB,1499.8,"5,5600",Black,46.0,2,16,TeamGroup
Corsair Vengeance 32 GB,1739.8,"5,6000",Black,36.0,2,16,Corsair
Patriot Viper Elite 5 RGB 32 GB,2059.79,"5,6000",White,30.0,2,16,Patriot
TEAMGROUP T-Force Delta RGB 64 GB,3699.8,"5,6000",White,38.0,2,32,TeamGroup
Corsair Vengeance RGB 64 GB,5199.8,"5,6000",White / Silver,30.0,2,32,Corsair
G.Skill Trident Z5 Royal 32 GB,3099.8,"5,6400",White,30.0,2,16,G.Skill
Kingston FURY Beast 32 GB,2132.6,"5,5600",Black,36.0,2,16,Kingston
Corsair Vengeance RGB 32 GB,1939.8,"5,5200",White,40.0,2,16,Corsair
TEAMGROUP T-Force Vulcan Z 32 GB,1320.6,"4,3200",Gray,16.0,2,16,TeamGroup
G.Skill Ripjaws V 32 GB,1799.8,"4,3600",Black,16.0,2,16,G.Skill
TEAMGROUP T-Force Delta RGB 16 GB,1019.8,"4,3600",Black,18.0,2,8,TeamGroup
