name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
Sapphire PURE Black 990FX,,AM3+/AM3,ATX,16,4,,False,Sapphire
Gigabyte GA-Z77X-UP7,,LGA1155,EATX,32,4,Black / Orange,False,Gigabyte
Asus ROG MAXIMUS Z790 EXTREME,52172.0,LGA1700,EATX,192,4,Black,True,ASUS
Supermicro MBD-X10DAL-I-O,14500.0,2 x LGA2011-3,ATX,512,8,Black / Green,True,Supermicro
ASRock H510M-HDV/M.2 SE,1886.2,LGA1200,Micro ATX,64,2,Black / Silver,True,ASRock
Asus Pro WS X299 SAGE II,,LGA2066,SSI CEB,256,8,Black / Silver,False,ASUS
Asus PRIME B650EM-A WIFI,,AM5,Micro ATX,256,4,Black / Silver,False,ASUS
Supermicro X10SLH-F,,LGA1150,Micro ATX,32,4,Green,False,Supermicro
Asus F1A75-I Deluxe,,FM1,Mini ITX,16,2,Black / Blue,False,ASUS
Biostar TA970XE,,AM3+,ATX,32,4,Black / Red,False,Biostar
NZXT N9 Z890,8999.79,LGA1851,ATX,192,4,Black,True,NZXT
Asus MAXIMUS VII IMPACT,,LGA1150,Mini ITX,16,2,Black / Red,False,ASUS
EVGA X299 Micro,,LGA2066,Micro ATX,128,4,Black,False,EVGA
Asus Z9PE-D8 WS,,2 x LGA2011,SSI EEB,64,8,Black / Blue,False,ASUS
MSI MPG Z890 EDGE TI WIFI,7399.8,LGA1851,ATX,256,4,Silver / White,True,MSI
Asus PRIME B250M-D,,LGA1151,Micro ATX,32,2,Black / Silver,False,ASUS
Gigabyte Z690I AORUS ULTRA PLUS DDR4 (rev. 1.0),,LGA1700,Mini ITX,64,2,,False,Gigabyte
Gigabyte GA-870A-UD3,,AM3,ATX,16,4,Blue / White,False,Gigabyte
Biostar TA790XE,,AM3/AM2+,ATX,16,4,Multicolor,False,Biostar
ASRock 760GM-HDV,,AM3+/AM3,Micro ATX,32,2,Black / Blue,False,ASRock
Biostar A880GU3,4999.8,AM3,Micro ATX,8,2,Black / Red,True,Biostar
Asus GRYPHON Z87,,LGA1150,Micro ATX,32,4,Brown / Black,False,ASUS
Intel D510MO,,Integrated Atom D510,Mini ITX,4,2,Green / Black,False,Intel
Foxconn H61AP,,LGA1155,ATX,16,2,Blue / White,False,Foxconn
EVGA Z790 CLASSIFIED,,LGA1700,EATX,128,4,Black,False,EVGA
Asus ROG STRIX B460-I GAMING,,LGA1200,Mini ITX,64,2,Black / Silver,False,ASUS
ASRock B85 Killer,,LGA1150,ATX,32,4,Black / Red,False,ASRock
Gigabyte GA-H110M-S2PH,,LGA1151,Micro ATX,32,2,Black,False,Gigabyte
NZXT N5 Z690,,LGA1700,ATX,128,4,Black / White,False,NZXT
Asus MAXIMUS VIII HERO,,LGA1151,ATX,64,4,Black / Red,False,ASUS
