name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available,brand
MUSETEX Y6,1709.6,ATX Mid Tower,ATX,White,,False,Tempered Glass,40.9,2,True,MUSETEX
Athenatech A3701BB,,HTPC,Mini ITX,Black,,False,Solid,23.2,1,False,Athenatech
BGears b-Vortex-RGB,979.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,38.3,2,True,BGears
HYTE REVOLT 3 EU,,Mini ITX Tower,Mini ITX,Black,700.0,True,Mesh,18.4,1,False,HYTE
DIYPC Gamemax-III-ARGB,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,36.3,2,False,DIYPC
Jonsbo MOD-3,,ATX Mid Tower,ATX,White,,False,Tempered Glass,93.1,1,False,Jonsbo
CFI Bastet,,ATX Mid Tower,ATX,Black,,False,Acrylic,48.0,2,False,CFI
Jonsbo D32 PRO MESH,,MicroATX Desktop,Micro ATX,,,False,Mesh,25.7,2,False,Jonsbo
FSP Group CMT330,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,,2,False,FSP
Lian Li O11 Dynamic EVO XL,5099.59,ATX Full Tower,ATX,Black,,False,Tempered Glass,84.4,4,True,Lian Li
Cougar Evolution,,ATX Mid Tower,ATX,Black,,False,Acrylic,59.8,4,False,Cougar
Aerocool Shard-G,,ATX Mid Tower,ATX,,,False,Tempered Glass,36.5,2,False,Aerocool
SAMA ARGB-Q5,1279.8,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,31.5,2,True,SAMA
Apevia X-Qber,,MicroATX Desktop,Micro ATX,Black / Green,,False,Acrylic,,2,False,Apevia
RAIJINTEK Metis Plus,,Mini ITX Tower,Mini ITX,Blue,,False,Acrylic,13.4,2,False,RAIJINTEK
In Win IW-V508T2X.L+,,MicroATX Mini Tower,Micro ATX,White,,False,Solid,22.9,1,False,In Win
Rosewill BLACKHAWK,,ATX Mid Tower,ATX,Black,,False,Acrylic,55.1,6,False,Rosewill
Okinos Aqua 3,1299.6,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,28.8,2,True,Okinos
Mars Gaming MC-LCD,,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,33.2,1,False,Mars Gaming
Fractal Design Node 202,,HTPC,Mini ITX,Black,,False,Solid,11.0,0,False,Fractal Design
Gigabyte GZ-KX9,,ATX Mid Tower,ATX,Black / Silver,,False,Solid,32.8,5,False,Gigabyte
Silverstone FTZ01,3653.0,Mini ITX Desktop,Mini ITX,Black,,False,Solid,,1,True,SilverStone
Linkworld Q319-C8888-P4,,ATX Mid Tower,ATX,Silver,500.0,True,Solid,42.4,6,False,Linkworld
SeaSonic ARCH Q5,,ATX Mid Tower,ATX,Black,650.0,True,Tempered Glass,46.4,3,False,SeaSonic
Chieftec BX-10B-OP,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,28.8,1,False,Chieftec
DIYPC Cuboid,,MicroATX Mini Tower,Micro ATX,Black / Blue,,False,Acrylic,,3,False,DIYPC
Thermaltake View 270 Plus TG ARGB,1739.8,ATX Mid Tower,ATX,Green,,False,Tempered Glass,47.6,2,True,Thermaltake
Tempest Shade RGB,,ATX Mid Tower,ATX,Black,,False,Acrylic,,2,False,Tempest
Foxconn DH-045(H+A)+MT-300,,MicroATX Slim,Micro ATX,Black,300.0,True,Solid,13.0,1,False,Foxconn
Zalman Z3 Iceberg,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,41.3,2,False,Zalman
Lian Li PC-P80NB,,ATX Full Tower,ATX,Black,,False,Solid,84.4,10,False,Lian Li
In Win 101,2384.0,ATX Mid Tower,ATX,Black,,False,Tempered Glass,48.3,2,True,In Win
darkFlash T20,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,2,False,darkFlash
Tecware Nexus,,ATX Mid Tower,ATX,White,,False,Tempered Glass,,2,False,Tecware
Cooler Master Silencio S400 Sakura Limited Edition,,MicroATX Mini Tower,Micro ATX,White / Pink,,False,Tempered Glass,,4,False,Cooler Master
Montech KING 95,,ATX Mid Tower,ATX,Red / Black,,False,Tempered Glass,63.0,5,False,Montech
YEYIAN Hussar Plus,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,33.5,1,False,YEYIAN
Foxconn RM233+FSP150-50GLT,,Mini ITX Tower,Mini ITX,Black / Silver,150.0,True,Solid,9.4,1,False,Foxconn
Lian Li PC-Q10,,Mini ITX Desktop,Mini ITX,Black,,False,Acrylic,,2,False,Lian Li
Tempest Spook RGB,,ATX Mid Tower,ATX,White / Black,,False,Acrylic,,2,False,Tempest
NOX Coolbay VX,,ATX Mid Tower,ATX,Black / Green,,False,Acrylic,34.3,7,False,NOX
KOLINK Citadel Glass SE ARGB,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,53.4,2,False,KOLINK
Lian Li O11 Vision,2779.4,ATX Mid Tower,ATX,White,,False,Tempered Glass,67.8,2,True,Lian Li
NCASE M1,,Mini ITX Tower,Mini ITX,Black,,False,Solid,13.9,2,False,NCASE
Xilence Xilent Blade II,,ATX Mid Tower,ATX,,,False,Tempered Glass,33.7,2,False,Xilence
Gigabyte Luxo M30,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,63.8,8,False,Gigabyte
Thermaltake Versa H15,3840.0,MicroATX Mid Tower,Micro ATX,Black,,False,Acrylic,,3,True,Thermaltake
Antec Performance 1 M,3899.8,Mini ITX Desktop,Mini ITX,Black,,False,Mesh,19.3,0,True,Antec
Vetroo M05,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,36.3,2,False,Vetroo
Aerocool Cronus,2398.19,ATX Mid Tower,ATX,Black,,False,Tempered Glass,54.0,3,True,Aerocool
EVGA DG-86,,ATX Full Tower,ATX,Gray,,False,Acrylic,,8,False,EVGA
Geometric Future Model 6,,ATX Mid Tower,ATX,Black / Green,,False,Tinted Tempered Glass,43.5,4,False,Geometric Future
EVGA DG-76,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,48.6,2,False,EVGA
Lian Li PC-V353,,HTPC,Mini ITX,Silver,,False,Solid,32.7,2,False,Lian Li
NZXT H700,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,58.6,2,False,NZXT
XClio Blue I,,ATX Mid Tower,ATX,Black,,False,Solid,41.6,5,False,XClio
SilentiumPC Regnum RG6V EVO TG ARGB,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,2,False,SilentiumPC
Anidees AI Crystal XL AR 3,,ATX Full Tower,ATX,Black,,False,Tempered Glass,86.7,15,False,Anidees
In Win BK644.BH300TB3,,MicroATX Mini Tower,Micro ATX,Black / Silver,300.0,True,Solid,12.3,0,False,In Win
HP Omen X,,MicroATX Desktop,Micro ATX,Black / Red,,False,Solid,,0,False,Desconocida
Antec GX700,4168.8,ATX Mid Tower,ATX,Black,,False,Solid,44.9,5,True,Antec
Chieftec BX-10B-M-OP,1884.8,MicroATX Mid Tower,Micro ATX,Black,,False,Mesh,28.8,1,True,Chieftec
In Win BL040.300TB3LF,2051.6,HTPC,Mini ITX,Black,300.0,True,Solid,11.6,2,True,In Win
Silverstone FT03,,MicroATX Mini Tower,Micro ATX,Silver / Black,,False,Solid,32.2,3,False,SilverStone
DAN Cases A4 SFX,,Mini ITX Desktop,Mini ITX,Black,,False,Solid,,0,False,DAN Cases
be quiet! Light Base 900 FX,4998.0,ATX Full Tower,ATX,Black,,False,Tempered Glass,84.2,1,True,be quiet!
Antec DF600 FLUX,2099.79,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,3,True,Antec
FSP Group CUT593P,2199.79,ATX Full Tower,ATX,White,,False,Tempered Glass,62.6,3,True,FSP
Thermaltake View 270,,ATX Mid Tower,ATX,Blue,,False,Tempered Glass,47.6,2,False,Thermaltake
Fractal Design Define 7,,ATX Mid Tower,ATX,Black / White,,False,Tempered Glass,62.4,6,False,Fractal Design
Raidmax X616,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,42.9,2,False,Raidmax
Zalman Z7 NEO,1399.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,41.2,2,True,Zalman
Thermaltake Versa H22,,ATX Mid Tower,ATX,Black,,False,Solid,42.8,0,False,Thermaltake
SHARKOON Rebel C20 ITX,,Mini ITX Desktop,Mini ITX,Black,,False,Mesh,29.5,1,False,SHARKOON
Rosewill GRAM,,ATX Mid Tower,ATX,Black,,False,Acrylic,,2,False,Rosewill
In Win 915,,ATX Full Tower,ATX,Black,,False,Tempered Glass,,4,False,In Win
Phanteks Enthoo 719,,ATX Full Tower,ATX,Gray,,False,Tempered Glass,81.4,4,False,Phanteks
be quiet! Pure Base 500,,ATX Mid Tower,ATX,Gray,,False,Tempered Glass,46.0,2,False,be quiet!
Xigmatek Octans,,Mini ITX Desktop,Mini ITX,Black,,False,Solid,,2,False,Xigmatek
Apevia X-EnerQ,,MicroATX Mid Tower,Micro ATX,Black / Blue,,False,Acrylic,,2,False,Apevia
HP OMEN 45L,6999.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,53.2,2,True,Desconocida
