name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available
Cooler Master Q300L V2,1119.59,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,34.1,1,True
Antec C8 Wood,2399.79,ATX Full Tower,ATX,Black / Brown,,False,Tempered Glass,66.9,2,True
Lian Li O11 Dynamic Mini,4580.0,ATX Mid Tower,ATX,Black,,False,Tempered Glass,43.0,2,True
Montech AIR 100 ARGB,1399.6,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,36.1,2,True
HYTE Y60,3599.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,60.0,2,True
MUSETEX K2,1499.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,44.4,2,True
Fractal Design Ridge PCIe 4.0,2859.4,Mini ITX Tower,Mini ITX,White,,False,Mesh,16.3,0,True
HYTE Y70 Touch Infinite,7999.8,ATX Mid Tower,ATX,White / Black,,False,Tempered Glass,70.7,2,True
Zalman S2,999.59,ATX Mid Tower,ATX,Black,,False,Acrylic,38.4,2,True
Fractal Design North XL,3599.8,ATX Full Tower,ATX,White,,False,Tempered Glass,61.4,2,True
Zalman T8,859.0,ATX Mid Tower,ATX,Black,,False,Solid,33.4,2,True
Jonsbo C6-ITX,1240.0,Mini ITX Desktop,Mini ITX,Black,,False,Mesh,15.9,1,True
Lian Li A4-H20 A4,3099.8,Mini ITX Desktop,Mini ITX,Silver / Black,,False,Mesh,11.1,0,True
MSI MAG FORGE M100R,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,32.8,2,False
NZXT H510,,ATX Mid Tower,ATX,White,,False,Tempered Glass,41.3,2,False
Deepcool CH370,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,38.3,2,False
GameMax Nova N5,1019.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,37.6,2,True
Lian Li LANCOOL III RGB,3599.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,65.5,4,True
SAMA SV01,1599.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,43.5,2,True
be quiet! Pure Base 500DX,2198.0,ATX Mid Tower,ATX,Black,,False,Tempered Glass,48.3,2,True
NZXT H3 Flow,1399.6,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,35.0,1,True
NZXT H5 Flow RGB (2024),1799.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,45.0,1,True
Fractal Design Torrent,4099.8,ATX Mid Tower,ATX,Black,,False,Tinted Tempered Glass,69.8,2,True
Montech AIR 100 LITE,1599.6,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,36.1,2,True
Lian Li PC-O11 Dynamic,,ATX Full Tower,ATX,Black,,False,Tempered Glass,54.0,3,False
Lian Li A3-mATX,1799.8,MicroATX Mini Tower,Micro ATX,Black / Brown,,False,Tempered Glass,26.3,1,True
Thermaltake Versa H16 ARGB,1099.8,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,33.0,2,True
Lian Li O11 Dynamic Mini Snow Edition,,ATX Mid Tower,ATX,White,,False,Tempered Glass,43.0,2,False
GameMax Vista M,1078.0,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,40.9,2,True
Phanteks Eclipse G370A,1139.59,ATX Mid Tower,ATX,Black,,False,Tempered Glass,48.7,0,True
Thermaltake View 170 ARGB,1359.8,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,35.0,1,True
Montech AIR 903 BASE,1380.0,ATX Mid Tower,ATX,White,,False,Tempered Glass,54.2,2,True
MSI MAG PANO 100R PZ,3199.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,72.5,2,True
GAMDIAS TALOS E3 MESH,1199.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,34.1,2,True
Antec NX200M,1859.4,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,,2,True
MSI MAG FORGE 320R AIRFLOW,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,49.4,2,False
Fractal Design Meshify 2,3299.8,ATX Mid Tower,ATX,Black,,False,Solid,61.7,6,True
Fractal Design Node 804,2699.8,MicroATX Mid Tower,Micro ATX,Black,,False,Acrylic,41.1,10,True
Phanteks NV5 MKII,2419.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,60.2,3,True
Phanteks EVOLV X2,3499.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,60.9,2,True
NZXT H7 Flow RGB (2024),2999.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,62.1,2,True
Cooler Master MasterBox NR200,1799.8,Mini ITX Desktop,Mini ITX,White / Black,,False,Solid,20.3,2,True
HYTE Y40,2599.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,49.7,1,True
Montech X5,1500.0,ATX Mid Tower,ATX,Black,,False,Tempered Glass,51.6,2,True
HAVN HS420,4599.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,76.8,5,True
Thermaltake Versa H18,1099.8,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,30.4,2,True
Corsair iCUE 4000X RGB,2899.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,48.6,2,True
Fractal Design Meshify 3,3099.8,ATX Mid Tower,ATX,Black,,False,Tinted Tempered Glass,50.3,2,True
Fractal Design North,3099.4,ATX Mid Tower,ATX,White,,False,Mesh,45.1,2,True
