name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available,brand
Aerocool DS 200,,ATX Mid Tower,ATX,Black,,False,Solid,,5,False,Aerocool
Aerocool DS 200,,ATX Mid Tower,ATX,Black / White,,False,Solid,,5,False,Aerocool
Lian Li PC-Q36W,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,25.4,2,False,Lian Li
Lian Li PC-Q36W,,Mini ITX Tower,Mini ITX,Gold,,False,Solid,25.4,2,False,Lian Li
Lian Li PC-Q36W,,Mini ITX Tower,Mini ITX,Black / Red,,False,Solid,25.4,2,False,Lian Li
Lian Li PC-V359W,,MicroATX Mid Tower,Micro ATX,Black / Red,,False,Solid,36.6,3,False,Lian Li
Deepcool STEAM CASTLE,,MicroATX Mid Tower,Micro ATX,White,,False,Acrylic,47.1,3,False,DeepCool
Zalman T1U3,,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,24.7,2,False,Zalman
Lian Li PC-Q33,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,18.1,2,False,Lian Li
In Win GR One,,ATX Full Tower,ATX,Gray,,False,Acrylic,81.0,8,False,In Win
Athenatech SS-PS08,,MicroATX Mid Tower,Micro ATX,Black,,False,Solid,23.7,4,False,Athenatech
BitFenix Pandora,,MicroATX Mid Tower,Micro ATX,Black,,False,Acrylic,31.2,2,False,BitFenix
BitFenix Pandora Core,,MicroATX Mid Tower,Micro ATX,Black,,False,Solid,31.2,2,False,BitFenix
BitFenix Pandora,,MicroATX Mid Tower,Micro ATX,Silver,,False,Solid,31.2,2,False,BitFenix
BitFenix Pandora Core,,MicroATX Mid Tower,Micro ATX,Silver,,False,Solid,31.2,2,False,BitFenix
Lian Li PC-A61,,ATX Mid Tower,ATX,Black,,False,Acrylic,57.4,6,False,Lian Li
Lian Li PC-Q01,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,13.2,2,False,Lian Li
Lian Li PC-Q19,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,22.4,1,False,Lian Li
Lian Li PC-Q19,,Mini ITX Tower,Mini ITX,Black,,False,Solid,22.4,1,False,Lian Li
Lian Li PC-V1000L,,ATX Full Tower,ATX,Silver,,False,Solid,73.6,0,False,Lian Li
Lian Li PC-V358,,MicroATX Mid Tower,Micro ATX,Silver,,False,Solid,36.6,6,False,Lian Li
DIYPC Mirage-D1,,ATX Mid Tower,ATX,Black / White,,False,Acrylic,37.2,4,False,DIYPC
Enermax Thorex,,ATX Mid Tower,ATX,Black,,False,Solid,,3,False,Enermax
In Win BL641.FH300TB3F,,HTPC,Mini ITX,Black,300.0,True,Solid,11.6,2,False,In Win
In Win BL672.FH300TB3F,,HTPC,Mini ITX,Black / Silver,,False,Solid,11.6,2,False,In Win
In Win D-FRAME MINI,,Mini ITX Tower,Mini ITX,Black / Red,,False,Tempered Glass,46.3,3,False,In Win
In Win EC046.CQ450TB3K,,ATX Mid Tower,ATX,Black,,False,Solid,43.6,4,False,In Win
In Win S-FRAME,,ATX Full Tower,ATX,Black,,False,Tempered Glass,131.3,4,False,In Win
Aerocool GT-A,,ATX Mid Tower,ATX,Black / Red,,False,Acrylic,,3,False,Aerocool
DIYPC Shadow-H01,,ATX Mid Tower,ATX,Black,,False,Acrylic,47.8,4,False,DIYPC
Silverstone FT05,,ATX Mid Tower,ATX,Black / Silver,,False,Acrylic,45.3,2,False,SilverStone
Thermaltake Level 10 Titanium,,ATX Full Tower,ATX,Black / Silver,,False,Solid,129.6,6,False,Thermaltake
Nanoxia Deep Silence 5,,ATX Full Tower,ATX,White,,False,Solid,,11,False,Nanoxia
BitFenix Prodigy M,,MicroATX Mini Tower,Micro ATX,Black / Blue,,False,Acrylic,35.9,4,False,BitFenix
BitFenix Prodigy M,,MicroATX Mini Tower,Micro ATX,Black / Blue,,False,Solid,35.9,4,False,BitFenix
BitFenix Prodigy M,,MicroATX Mini Tower,Micro ATX,Black / Green,,False,Solid,35.9,4,False,BitFenix
BitFenix Prodigy M,,MicroATX Mini Tower,Micro ATX,Black / Orange,,False,Solid,35.9,4,False,BitFenix
BitFenix Prodigy M,,MicroATX Mini Tower,Micro ATX,Black / Red,,False,Solid,35.9,4,False,BitFenix
Lian Li PC-Q26,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,33.8,10,False,Lian Li
Aerocool Strike-X Advance,,ATX Mid Tower,ATX,Black,,False,Acrylic,,0,False,Aerocool
Cooltek W1,,Mini ITX Tower,Mini ITX,Black,,False,Solid,,4,False,Cooltek
Cooltek W1,,Mini ITX Tower,Mini ITX,Black,,False,Acrylic,,4,False,Cooltek
Cooltek W1,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,,4,False,Cooltek
Cooltek W1,,Mini ITX Tower,Mini ITX,Silver,,False,Acrylic,,4,False,Cooltek
Cooler Master Force 500,,ATX Mid Tower,ATX,Black,500.0,True,Solid,39.8,7,False,Cooler Master
Cooler Master K280,,ATX Mid Tower,ATX,Black,500.0,True,Solid,,6,False,Cooler Master
DIYPC FM18,,ATX Mid Tower,ATX,Black / White,,False,Acrylic,33.8,2,False,DIYPC
DIYPC HTPC-Cube,,Mini ITX Tower,Mini ITX,Black,,False,Solid,,1,False,DIYPC
DIYPC Ranger-R4,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,41.6,4,False,DIYPC
DIYPC Solar-M1,,ATX Mid Tower,ATX,Black / Orange,,False,Acrylic,38.0,5,False,DIYPC
Deepcool STEAM CASTLE,,MicroATX Mid Tower,Micro ATX,Camo,,False,Acrylic,47.1,3,False,DeepCool
Deepcool STEAM CASTLE,,MicroATX Mid Tower,Micro ATX,White,,False,Solid,47.1,3,False,DeepCool
Enermax Fulmo ST,,ATX Full Tower,ATX,Black / Red,,False,Acrylic,,8,False,Enermax
Gigabyte GZ-X7B-U3NP,,ATX Mid Tower,ATX,Black / Red,,False,Solid,,6,False,Gigabyte
Gigabyte GZ-ZGS4B5,,ATX Mid Tower,ATX,Black,,False,Solid,,5,False,Gigabyte
Gigabyte GZ-ZGS5B5,,ATX Mid Tower,ATX,Black,,False,Solid,,5,False,Gigabyte
Gigabyte GZ-ZHSGWJ,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,,8,False,Gigabyte
Gigabyte GZ-ZHSHWW,,ATX Mid Tower,ATX,Black,,False,Solid,,8,False,Gigabyte
Gigabyte GZ-ZHSMW8,,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,,3,False,Gigabyte
Lian Li PC-K69,,ATX Mid Tower,ATX,Black,,False,Acrylic,,3,False,Lian Li
Lian Li PC-Q33,,Mini ITX Tower,Mini ITX,Silver,,False,Acrylic,18.1,2,False,Lian Li
NZXT Phantom 240,,ATX Mid Tower,ATX,Black / Gray,,False,Acrylic,,6,False,NZXT
Raidmax Atomic,,Mini ITX Tower,Mini ITX,Black,,False,Acrylic,,1,False,Raidmax
Raidmax Scorpio V,,ATX Mid Tower,ATX,Pink,,False,Acrylic,54.6,8,False,Raidmax
RAIJINTEK Metis,,Mini ITX Tower,Mini ITX,Silver,,False,Acrylic,13.4,1,False,RAIJINTEK
RAIJINTEK Metis,,Mini ITX Tower,Mini ITX,Blue,,False,Acrylic,13.4,1,False,RAIJINTEK
RAIJINTEK Metis,,Mini ITX Tower,Mini ITX,Gold,,False,Acrylic,13.4,1,False,RAIJINTEK
RAIJINTEK Metis,,Mini ITX Tower,Mini ITX,Black,,False,Solid,13.4,1,False,RAIJINTEK
RAIJINTEK Metis,,Mini ITX Tower,Mini ITX,Blue,,False,Solid,13.4,1,False,RAIJINTEK
RAIJINTEK Metis,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,13.4,1,False,RAIJINTEK
RAIJINTEK Metis,,Mini ITX Tower,Mini ITX,Gold,,False,Solid,13.4,1,False,RAIJINTEK
BitFenix Aegis,,MicroATX Mid Tower,Micro ATX,Blue,,False,Acrylic,46.2,4,False,BitFenix
BitFenix Aegis Core,,MicroATX Mid Tower,Micro ATX,Red,,False,Acrylic,46.2,4,False,BitFenix
BitFenix Aegis,,MicroATX Mid Tower,Micro ATX,Yellow,,False,Acrylic,46.2,4,False,BitFenix
BitFenix Aegis Core,,MicroATX Mid Tower,Micro ATX,Yellow,,False,Acrylic,46.2,4,False,BitFenix
Silverstone KL05B,,ATX Mid Tower,ATX,Black,,False,Solid,,6,False,SilverStone
Antec ISK600M,,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,,3,False,Antec
NOX Coolbay VX,,ATX Mid Tower,ATX,Black / Blue,,False,Solid,34.3,7,False,NOX
Sentey Ss6-2441,,MicroATX Mini Tower,Micro ATX,White,,False,Solid,,2,False,Sentey
Sentey Ss6-2441,,MicroATX Mini Tower,Micro ATX,Black / White,,False,Solid,,2,False,Sentey
Azza Nova 8000,,ATX Full Tower,ATX,Gunmetal,,False,Acrylic,,6,False,Azza
Azza ZEN 8100,,ATX Full Tower,ATX,Black,,False,Acrylic,,6,False,Azza
DIYPC DIY-BJ05,,ATX Mid Tower,ATX,Black,,False,Solid,,3,False,DIYPC
Azza Draco 207,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,,5,False,Azza
Azza Draco 207,,ATX Mid Tower,ATX,Black / Red,,False,Acrylic,,5,False,Azza
Silverstone PS11B,,ATX Mid Tower,ATX,Black,,False,Solid,,3,False,SilverStone
Raidmax Troy,,Mini ITX Desktop,Mini ITX,Black / Red,,False,Solid,,1,False,Raidmax
Silverstone KL06B,,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,,1,False,SilverStone
Silverstone KL06B,,MicroATX Mini Tower,Micro ATX,Black,,False,Acrylic,,1,False,SilverStone
Sentey GS-6090,,ATX Mid Tower,ATX,Black,,False,Acrylic,,4,False,Sentey
RAIJINTEK Aeneas,,MicroATX Mini Tower,Micro ATX,Black,,False,Acrylic,,4,False,RAIJINTEK
RAIJINTEK Aeneas,,MicroATX Mini Tower,Micro ATX,White,,False,Acrylic,,4,False,RAIJINTEK
Lian Li PC-O5,,HTPC,Mini ITX,Black,,False,Tempered Glass,,2,False,Lian Li
Cooler Master CM690 II Advanced,,ATX Mid Tower,ATX,Black / White,,False,Solid,56.3,6,False,Cooler Master
Sentey SS1-2423,,HTPC,Mini ITX,Black / Silver,,False,Solid,,1,False,Sentey
BitFenix Neos,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,37.0,3,False,BitFenix
BitFenix Aegis,,MicroATX Mid Tower,Micro ATX,Black / White,,False,Acrylic,46.2,4,False,BitFenix
Cooler Master HAF XM,,ATX Mid Tower,ATX,Black / Red,,False,Acrylic,76.0,6,False,Cooler Master
Sentey Ss1-2429,,MicroATX Mid Tower,Micro ATX,Black / Blue,,False,Solid,,0,False,Sentey
Sentey Ss1-2429,,MicroATX Mid Tower,Micro ATX,Black / Purple,,False,Solid,,0,False,Sentey
Cooltek W2,,ATX Mid Tower,ATX,Black,,False,Solid,,3,False,Cooltek
Cooltek W2,,ATX Mid Tower,ATX,Silver,,False,Solid,,3,False,Cooltek
DIYPC Adventurer-I8,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,,2,False,DIYPC
DIYPC Adventurer-I8,,ATX Mid Tower,ATX,Black / Green,,False,Acrylic,,2,False,DIYPC
DIYPC Adventurer-I8,,ATX Mid Tower,ATX,Black / Red,,False,Acrylic,,2,False,DIYPC
Aerocool QS-102,,HTPC,Mini ITX,Black,,False,Solid,,0,False,Aerocool
Aerocool QS-102,,HTPC,Mini ITX,Black,400.0,True,Solid,,0,False,Aerocool
JMAX JX-FM500B,,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,,0,False,Desconocida
DIYPC Cuboid,,MicroATX Mini Tower,Micro ATX,Black / Blue,,False,Acrylic,,3,False,DIYPC
Raidmax Element,,Mini ITX Desktop,Mini ITX,Black / Green,,False,Solid,,2,False,Raidmax
Raidmax Element,,Mini ITX Desktop,Mini ITX,Black / Pink,,False,Solid,,2,False,Raidmax
Raidmax Element,,Mini ITX Desktop,Mini ITX,Black / Gray,450.0,True,Solid,,2,False,Raidmax
Antec P50,,MicroATX Mini Tower,Micro ATX,Black,,False,Acrylic,,3,False,Antec
Aerocool Aero-500 - C,,ATX Mid Tower,ATX,White / Black,,False,Acrylic,45.1,4,False,Aerocool
Aerocool Aero-800,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,,2,False,Aerocool
Aerocool Aero-800,,ATX Mid Tower,ATX,Black / Gray,,False,Acrylic,,2,False,Aerocool
Silverstone ML08,,HTPC,Mini ITX,Black,,False,Acrylic,,0,False,SilverStone
Logisys CS136BK,,ATX Mid Tower,ATX,Black / Silver,480.0,True,Solid,23.7,3,False,Logisys
Rosewill WolfStone,,ATX Mid Tower,ATX,Black,,False,Solid,,8,False,Rosewill
Raidmax EXO,,ATX Mid Tower,ATX,Black / Blue,,False,Solid,,2,False,Raidmax
DIYPC Futurus,,MicroATX Mid Tower,Micro ATX,Black / Blue,,False,Acrylic,,2,False,DIYPC
DIYPC Futurus,,MicroATX Mid Tower,Micro ATX,White,,False,Acrylic,,2,False,DIYPC
