name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Patriot Viper Steel 32 GB,1199.8,"4,3200","2,16",1.875,Silver / Black,10.0,16.0
G.Skill Flare X5 64 GB,4699.8,"5,6000","2,32",3.672,Black,9.333,28.0
Corsair Vengeance 16 GB,1299.6,"5,5200","2,8",4.061,Black,15.385,40.0
G.Skill Ripjaws S5 64 GB,3099.8,"5,6000","2,32",2.422,Black,12.0,36.0
Crucial CP2K64G56C46U5 128 GB,5999.8,"5,5600","2,64",2.344,Black,16.429,46.0
Timetec PINNACLE Konduit 32 GB,,"4,3600","2,16",,White,10.0,18.0
TEAMGROUP T-Create Expert 32 GB,1759.8,"5,6000","2,16",2.75,Black,12.667,38.0
Patriot Viper Venom 32 GB,1759.8,"5,6400","2,16",2.75,Black / White,10.0,32.0
G.Skill Flare X5 32 GB,2559.79,"5,6000","2,16",4.0,Black,9.333,28.0
Crucial Pro 32 GB,1639.8,"5,6400","2,16",2.562,Black,11.875,38.0
Corsair Vengeance RGB 128 GB,11039.8,"5,5600","4,32",4.312,Black,14.286,40.0
Corsair Vengeance RGB Pro SL 32 GB,2199.79,"4,3600","2,16",3.437,White / Black,10.0,18.0
Corsair Dominator Titanium 96 GB,8499.79,"5,6600","2,48",4.427,Black,9.697,32.0
Corsair Vengeance 64 GB,4599.8,"5,6400","2,32",3.594,Black / Gray,10.0,32.0
Kingston FURY Beast 16 GB,1359.6,"5,6000","2,8",4.249,Black,10.0,30.0
TEAMGROUP T-Create Classic 32 GB,1499.8,"5,5600","2,16",2.343,Black,16.429,46.0
Corsair Vengeance 32 GB,1739.8,"5,6000","2,16",2.718,Black,12.0,36.0
Patriot Viper Elite 5 RGB 32 GB,2059.79,"5,6000","2,16",3.218,White,10.0,30.0
TEAMGROUP T-Force Delta RGB 64 GB,3699.8,"5,6000","2,32",2.89,White,12.667,38.0
Corsair Vengeance RGB 64 GB,5199.8,"5,6000","2,32",4.062,White / Silver,10.0,30.0
G.Skill Trident Z5 Royal 32 GB,3099.8,"5,6400","2,16",4.843,White,9.375,30.0
Kingston FURY Beast 32 GB,2132.6,"5,5600","2,16",3.332,Black,12.857,36.0
Corsair Vengeance RGB 32 GB,1939.8,"5,5200","2,16",3.031,White,15.385,40.0
TEAMGROUP T-Force Vulcan Z 32 GB,1320.6,"4,3200","2,16",2.063,Gray,10.0,16.0
G.Skill Ripjaws V 32 GB,1799.8,"4,3600","2,16",2.812,Black,8.889,16.0
Lexar THOR 16 GB,,"4,3200","2,8",,Black,10.0,16.0
