name,price,type,efficiency,wattage,modular,color
Xilence XP750R6.2,1895.0,ATX,plus,750,false,Black
Antec NE1300G M ATX3.0,4733.39,ATX,gold,1300,Full,Black
RAIJINTEK AMPERE,3398.0,ATX,platinum,1200,Full,White
Thermaltake Toughpower GF1 PE,3399.8,ATX,gold,750,Full,Black
Inter-Tech Argus RGB CM II,4276.6,ATX,gold,650,Semi,Black
Silverstone Essential,2150.2,ATX,gold,750,Semi,Black / Blue
MSI MAG A-GL PCIE5 II,3101.8,ATX,gold,1000,Full,Black
Silverstone Strider,9749.79,ATX,silver,1500,Full,Black
FSP Group Hydro PTM PRO,2599.8,ATX,platinum,750,Full,Black
Enermax MAXREVO SLI,2799.8,ATX,gold,1350,Full,Black / Gold
Silverstone DA750 Gold,2974.4,ATX,gold,750,Full,Black / White
Antec High Current Gamer PRO ATX3.1,5854.0,ATX,platinum,1000,Full,Black
Inter-Tech Argus RGB CM II,4782.79,ATX,gold,750,Semi,Black
Chieftec ATMOS,4154.0,ATX,gold,850,Full,Black
Silverstone ST75F-GS-V3,2519.79,ATX,gold,750,Full,Black
Gigabyte UD850GM-A,2199.79,ATX,gold,850,Full,Black
SHARKOON Rebel P20 SFX,9818.0,SFX,platinum,1000,Full,Black
Azza ARGB,1299.6,ATX,bronze,650,false,Black
FSP Group Hydro GE,1699.8,ATX,gold,650,Full,Black
PC Cooler YS850,2599.8,ATX,gold,850,Full,Black
Silverstone SX1000R-PL,6539.8,SFX,platinum,1000,Full,Black / White
Silverstone Essential,1906.4,ATX,gold,750,false,Black / Yellow
In Win P130II,4980.0,ATX,platinum,1300,Full,Black
EVGA 710 BP,4005.8,ATX,bronze,710,false,Black
FSP Group FSP500-50FSPT,3979.8,Flex ATX,platinum,500,false,Silver
Chieftec ATMOS,3631.6,ATX,gold,750,Full,Black
Silverstone Strider Titanium,7279.8,ATX,titanium,1100,Full,Black / Blue
FSP Group FSP220-60LE(80),1599.6,Mini ITX,plus,220,false,Silver
Thermaltake Smart BM2,6549.8,ATX,bronze,750,Semi,Black
Antec Signature Platinum,7698.0,ATX,platinum,1300,Full,Black
ADATA XPG FUSION 1600,11999.8,ATX,titanium,1600,Full,Black / Silver
be quiet! TFX Power 3 300,2879.4,TFX,gold,300,false,Black
PC Cooler YS1000,3599.8,ATX,gold,1000,Full,Black
Silverstone TX300,1819.4,TFX,bronze,300,false,Black
In Win P105II,3980.0,ATX,platinum,1050,Full,Black
In Win P85,4234.8,ATX,gold,850,Full,Black
Fractal Design Ion Gold,4760.0,ATX,gold,550,Full,Black
Rosewill CFZ,1999.8,ATX,bronze,750,Semi,Black
Cougar GEX,3180.0,ATX,gold,1050,Full,Black
Inter-Tech Argus RGB II,3844.4,ATX,bronze,600,false,Black
Cougar POLAR,3999.8,ATX,platinum,1200,Full,White
FSP Group Hydro PTM PRO,4999.8,ATX,platinum,1000,Full,Black
Thermaltake Toughpower PF1 - TT Premium Edition,7244.4,ATX,platinum,1050,Full,Black
Inter-Tech Argus RGB II,3476.0,ATX,bronze,700,false,Black
Cougar POLAR,4180.0,ATX,platinum,1050,Full,White
Xilence XP1250MR9.2,9501.0,ATX,gold,1250,Full,Black / Red
In Win P65,2620.0,ATX,gold,650,Full,Black
Athena Power APOLLO 600,4616.8,SFX,bronze,600,false,Black
SHARKOON SilentStorm,3139.4,SFX,bronze,450,false,Black
Xilence XP550R9,3160.0,ATX,gold,550,false,Black / Red
Rosewill PMG750,2299.79,ATX,gold,750,Full,Black
Chieftec Polaris 3.0,4401.8,ATX,gold,1050,Full,Black
Xilence XP750R12.ARGB,4171.39,ATX,gold,750,false,Black
In Win IP-S300FF1-0,1318.8,TFX,plus,300,false,Silver
Chieftec Polaris 3.0,5636.6,ATX,gold,850,Full,Black
SeaSonic SS-600ES,2580.19,ATX,bronze,600,false,Gray
SeaSonic SSP-300TBS,1769.4,TFX,bronze,300,false,Silver
SeaSonic SS-300TFX Bronze,1799.8,TFX,bronze,300,false,Silver
FSP Group FSP300-60LG-5K,2274.79,Flex ATX,bronze,300,false,Silver
Athena Power AP-MFATX50P8,3407.6,Flex ATX,silver,500,false,Silver
