name,price,type,efficiency,wattage,modular,color
Asus TUF Gaming 750G,2529.79,ATX,gold,750,Full,Black
MSI MEG Ai-T PCIE5,13759.8,ATX,titanium,1600,Full,Black / Gold
Thermaltake Smart BM3,1599.6,ATX,bronze,750,Semi,Black
Montech CENTURY II,2598.0,ATX,gold,1200,Full,Black
Thermaltake Toughpower GF A3 Snow,3399.8,ATX,gold,1050,Full,White
Corsair RM1200e,3999.8,ATX,gold,1200,Full,Black
be quiet! Straight Power 12,4524.2,ATX,platinum,1200,Full,Black
Corsair RM750x (2018),3677.6,ATX,gold,750,Full,Black
Apevia Premier,1099.8,ATX,gold,650,Semi,Black
Corsair RM1000x SHIFT,3999.8,ATX,gold,1000,Full / Side,White
SeaSonic PRIME TX-1600 Noctua Edition,13080.0,ATX,titanium,1600,Full,Brown / Black
Asus Prime AP-750G,2399.79,ATX,gold,750,Full,White / Black
Corsair RM850x SHIFT,3599.8,ATX,gold,850,Full / Side,Black
be quiet! Pure Power 12 M,3398.0,ATX,gold,1200,Full,Black
Thermaltake Toughpower GF1 (2024),1999.8,ATX,gold,750,Full,Black
ASRock Steel Legend SL-750G,1799.8,ATX,gold,750,Full,Black
Corsair RM850x SHIFT,3399.8,ATX,gold,850,Full / Side,White
Cooler Master V SFX Platinum,4149.8,SFX,platinum,1100,Full,Black
Segotep GM,1899.8,ATX,gold,850,Full,Black
Silverstone SFX,2545.0,SFX,gold,500,Full,Black
Gigabyte AORUS ELITE P850,3299.8,ATX,platinum,850,Full,Black
Asus Prime AP-850G,2799.8,ATX,gold,850,Full,White / Black
Lian Li SP850,2899.8,SFX,gold,850,Full,White
MSI MPG A1000GS PCIE5,2999.8,ATX,gold,1000,Full,Black
EVGA SuperNOVA 750 GT,2319.6,ATX,gold,750,Full,Black
MSI MAG A1250GL PCIE5,4199.8,ATX,gold,1250,Full,Black
be quiet! Dark Power Pro 13,7998.0,ATX,titanium,1300,Full,Black
Gigabyte UD-GM PG5,2934.4,ATX,gold,750,Full,Black
SeaSonic VERTEX GX-1000,3999.8,ATX,gold,1000,Full,Black / Silver
