name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
Asus TUF GAMING X870-PLUS WIFI,5339.8,AM5,ATX,192,4,Black,True,ASUS
Gigabyte Z790 AORUS ELITE AX,3699.8,LGA1700,ATX,192,4,Black,True,Gigabyte
MSI B550-A PRO,2519.79,AM4,ATX,128,4,Black / Silver,True,MSI
Asus ROG CROSSHAIR X870E EXTREME,19999.8,AM5,EATX,256,4,Black / Silver,True,ASUS
ASRock B850M Pro RS WiFi,2999.8,AM5,Micro ATX,256,4,Silver / Black,True,ASRock
Asus TUF GAMING Z790-PLUS WIFI,4399.8,LGA1700,ATX,192,4,Black / Gray,True,ASUS
Gigabyte X870E AORUS PRO ICE,6599.8,AM5,ATX,256,4,White,True,Gigabyte
Gigabyte B650 AORUS ELITE AX,3719.8,AM5,ATX,192,4,Black / Silver,True,Gigabyte
Gigabyte A620I AX,2760.0,AM5,Mini ITX,96,2,Black / Gray,True,Gigabyte
Gigabyte X870I AORUS PRO ICE,5699.8,AM5,Mini ITX,128,2,White,True,Gigabyte
MSI B650M GAMING PLUS WIFI,4390.2,AM5,Micro ATX,192,4,Silver / Black,True,MSI
Asus ROG STRIX B850-F GAMING WIFI,5383.6,AM5,ATX,192,4,Black,True,ASUS
ASRock X870 Pro RS,3599.8,AM5,ATX,256,4,White,True,ASRock
MSI PRO A620M-E,3098.0,AM5,Micro ATX,96,2,Black,True,MSI
Asus TUF GAMING B650E-PLUS WIFI,3799.8,AM5,ATX,256,4,Black / Silver,True,ASUS
Gigabyte B850 GAMING X WIFI6E,3959.8,AM5,ATX,256,4,Gray / Black,True,Gigabyte
Gigabyte B550 GAMING X V2,2599.8,AM4,ATX,128,4,Black,True,Gigabyte
ASRock B650M-HDV/M.2,2772.6,AM5,Micro ATX,96,2,Silver / Black,True,ASRock
Asus Z790 GAMING WIFI7,3599.8,LGA1700,ATX,192,4,Silver / Black,True,ASUS
MSI MAG X870E TOMAHAWK WIFI,6199.8,AM5,ATX,256,4,Black / Green,True,MSI
Gigabyte B550 EAGLE WIFI6,2599.8,AM4,ATX,128,4,Black,True,Gigabyte
MSI PRO H610M-G DDR4,1879.8,LGA1700,Micro ATX,64,2,Black / Silver,True,MSI
MSI MEG X870E GODLIKE,19999.8,AM5,EATX,256,4,Black,True,MSI
ASRock X870 Pro RS WiFi,4819.8,AM5,ATX,256,4,White,True,ASRock
Gigabyte B850M AORUS ELITE WIFI6E ICE,3999.8,AM5,Micro ATX,256,4,White / Silver,True,Gigabyte
ASRock B760M-HDV/M.2,2386.39,LGA1700,Micro ATX,96,2,White / Black,True,ASRock
Gigabyte TRX40 DESIGNARE,28980.0,sTRX4,XL ATX,256,8,Black / Silver,True,Gigabyte
ASRock A520M-HDV,1259.8,AM4,Micro ATX,64,2,Black / Silver,True,ASRock
ASRock B550 Phantom Gaming 4/ac,1999.8,AM4,ATX,128,4,Silver / Black,True,ASRock
Gigabyte X870 AORUS ELITE WIFI7,5240.0,AM5,ATX,256,4,Black,True,Gigabyte
Asus ROG STRIX B760-I GAMING WIFI,4199.0,LGA1700,Mini ITX,96,2,Black,True,ASUS
Gigabyte X870 GAMING WIFI6,3799.8,AM5,ATX,256,4,Black / Gray,True,Gigabyte
ASRock A620M-HDV/M.2,2582.79,AM5,Micro ATX,96,2,Gray / Black,True,ASRock
MSI MAG Z890 TOMAHAWK WIFI,4799.8,LGA1851,ATX,256,4,Black / Yellow,True,MSI
Asus ProArt X870E-CREATOR WIFI,10359.79,AM5,ATX,256,4,Black / Gold,True,ASUS
ASRock B650 PG LIGHTNING,2599.8,AM5,ATX,256,4,Black,True,ASRock
MSI MAG B550 TOMAHAWK,2799.8,AM4,ATX,128,4,Black / Silver,True,MSI
MSI MAG B760 TOMAHAWK WIFI,3299.8,LGA1700,ATX,192,4,Black,True,MSI
Gigabyte B550 UD AC,2399.79,AM4,ATX,128,4,Brown / Black,True,Gigabyte
Gigabyte B650M D3HP AX,2799.8,AM5,Micro ATX,192,4,Black / Gray,True,Gigabyte
Asus PRIME B650M-A AX II,3379.8,AM5,Micro ATX,192,4,Black / Silver,True,ASUS
ASRock B650I Lightning Wifi,3999.8,AM5,Mini ITX,96,2,Black,True,ASRock
ASRock X870E Taichi,9379.0,AM5,EATX,256,4,Black,True,ASRock
MSI MPG X870E EDGE TI WIFI,5799.8,AM5,ATX,256,4,Silver / White,True,MSI
ASRock Phantom Gaming X870E Nova WiFi,5999.8,AM5,ATX,256,4,Black / Purple,True,ASRock
MSI PRO X870E-P WIFI,4898.8,AM5,ATX,256,4,Black / Silver,True,MSI
MSI PRO B850-P WIFI,3999.8,AM5,ATX,256,4,Silver / Black,True,MSI
Gigabyte B760M DS3H AX,2599.8,LGA1700,Micro ATX,192,4,Black,True,Gigabyte
ASRock B850 Riptide WiFi,3999.8,AM5,ATX,256,4,Black,True,ASRock
MSI B840 GAMING PLUS WIFI,2999.8,AM5,ATX,256,4,Silver / Black,True,MSI
ASRock B650M Pro RS,4401.39,AM5,Micro ATX,256,4,Black / Silver,True,ASRock
Asus TUF GAMING A520M-PLUS WIFI,2209.19,AM4,Micro ATX,128,4,Black / Orange,True,ASUS
ASRock B760M PG Riptide Wifi,2399.79,LGA1700,Micro ATX,192,4,Black,True,ASRock
ASRock B650 Steel Legend WiFi,5607.0,AM5,ATX,256,4,White / Silver,True,ASRock
Gigabyte B650 AORUS ELITE AX ICE,3994.8,AM5,ATX,192,4,Silver,True,Gigabyte
MSI X670E GAMING PLUS WIFI,3799.8,AM5,ATX,192,4,Silver / Black,True,MSI
Gigabyte B650 AORUS ELITE AX V2,3999.8,AM5,ATX,192,4,Black / Silver,True,Gigabyte
Asus ROG STRIX X870-I GAMING WIFI,8979.79,AM5,Mini ITX,128,2,Black,True,ASUS
Asus ROG STRIX Z790-A GAMING WIFI II,11800.0,LGA1700,ATX,192,4,Black / Silver,True,ASUS
Asus ROG ZENITH II EXTREME ALPHA,,sTRX4,EATX,256,8,Black / Silver,False,ASUS
MSI PRO Z790-P WIFI,3599.8,LGA1700,ATX,192,4,Black / Silver,True,MSI
ASRock B760 Pro RS/D4,3081.0,LGA1700,ATX,128,4,Silver / Black,True,ASRock
ASRock B850M Steel Legend WiFi,3599.8,AM5,Micro ATX,256,4,Silver / Black,True,ASRock
Asus TUF GAMING B650M-PLUS WIFI,5180.0,AM5,Micro ATX,192,4,Black,True,ASUS
MSI B760M GAMING PLUS WIFI,5043.8,LGA1700,Micro ATX,192,4,Black / Silver,True,MSI
Gigabyte B550M DS3H AC,1999.8,AM4,Micro ATX,128,4,Black,True,Gigabyte
Gigabyte B650M GAMING WIFI6E,3543.39,AM5,Micro ATX,128,2,Silver / Black,True,Gigabyte
MSI PRO B760-P WIFI DDR4,3199.0,LGA1700,ATX,128,4,Black,True,MSI
Gigabyte B650 EAGLE,4243.8,AM5,ATX,192,4,Black / Gray,True,Gigabyte
MSI X870 GAMING PLUS WIFI,4999.8,AM5,ATX,256,4,Black / White,True,MSI
Asus TUF GAMING B760-PLUS WIFI,3199.8,LGA1700,ATX,192,4,Black,True,ASUS
ASRock Z790 PRO RS WIFI,4593.6,LGA1700,ATX,192,4,Silver / Black,True,ASRock
Gigabyte A520M S2H,1459.6,AM4,Micro ATX,64,2,Black,True,Gigabyte
Asus TUF GAMING X570-PLUS (WI-FI),,AM4,ATX,128,4,Black / Gold,False,ASUS
Asus Prime B450M-A II,2800.0,AM4,Micro ATX,128,4,,True,ASUS
Gigabyte B850I AORUS PRO,5199.8,AM5,Mini ITX,128,2,,True,Gigabyte
Gigabyte A520M DS3H V2,2038.0,AM4,Micro ATX,128,4,Gray / Brown,True,Gigabyte
MSI B550 GAMING GEN3,2491.6,AM4,ATX,128,4,Black,True,MSI
MSI MAG B850M MORTAR WIFI,4799.8,AM5,Micro ATX,256,4,Black / Green,True,MSI
Gigabyte B550 AORUS ELITE AX V2,2999.8,AM4,ATX,128,4,Black / Silver,True,Gigabyte
ASRock B850 Steel Legend WiFi,4199.8,AM5,ATX,256,4,White / Black,True,ASRock
MSI MPG B650I EDGE WIFI,5799.8,AM5,Mini ITX,128,2,Black / Silver,True,MSI
MSI MAG Z790 TOMAHAWK WIFI,3799.8,LGA1700,ATX,192,4,Black,True,MSI
MSI B450 TOMAHAWK MAX,,AM4,ATX,128,4,Black,False,MSI
Gigabyte B550I AORUS PRO AX,3799.8,AM4,Mini ITX,64,2,Black / Silver,True,Gigabyte
Asus ROG STRIX B860-I GAMING WIFI,4399.8,LGA1851,Mini ITX,128,2,Black / Silver,True,ASUS
ASRock H370M-HDV,1499.6,LGA1151,Micro ATX,64,2,Black / Silver,True,ASRock
Asus ROG STRIX B550-A GAMING,4822.6,AM4,ATX,128,4,Black / White,True,ASUS
NZXT N7 B650E,5217.6,AM5,ATX,128,4,White,True,NZXT
Gigabyte X870E AORUS PRO,6999.8,AM5,ATX,256,4,Black,True,Gigabyte
MSI Z790 GAMING PLUS WIFI,3399.8,LGA1700,ATX,192,4,Black,True,MSI
MSI MPG B850I EDGE TI WIFI,4999.8,AM5,Mini ITX,128,2,Silver,True,MSI
ASRock B650 PRO RS,2940.4,AM5,ATX,256,4,Black / Silver,True,ASRock
Gigabyte Z790 S WIFI DDR4 (rev. 1.0),,LGA1700,ATX,128,4,Black,False,Gigabyte
Gigabyte B650E AORUS ELITE X AX ICE,4180.0,AM5,ATX,192,4,Silver / White,True,Gigabyte
MSI PRO B840-P WIFI,3199.8,AM5,ATX,256,4,Silver,True,MSI
ASRock B550M-ITX/ac,1999.8,AM4,Mini ITX,64,2,Silver / Black,True,ASRock
Gigabyte X870E AORUS MASTER,9999.79,AM5,ATX,256,4,Black,True,Gigabyte
ASRock B850 Pro-A,2799.8,AM5,ATX,256,4,Black / Silver,True,ASRock
ASRock B760M-H2/M.2,3077.6,LGA1700,Micro ATX,96,2,Black / Silver,True,ASRock
Asus ROG STRIX B850-E GAMING WIFI,6780.0,AM5,ATX,256,4,Black,True,ASUS
MSI MAG B650M MORTAR WIFI,3979.8,AM5,Micro ATX,192,4,Black,True,MSI
ASRock B650M Pro X3D WiFi,2799.8,AM5,Micro ATX,256,4,Black / Silver,True,ASRock
MSI PRO X870-P WIFI,5460.0,AM5,ATX,256,4,Black / Silver,True,MSI
Asus PRIME B550-PLUS AC-HES,2599.8,AM4,ATX,128,4,Silver / Black,True,ASUS
Asus PRIME X870-P WIFI,4399.8,AM5,ATX,192,4,Black / Silver,True,ASUS
Gigabyte B650M AORUS ELITE AX,3999.8,AM5,Micro ATX,192,4,Black,True,Gigabyte
