name,price,rpm_min,rpm_max,noise_min_db,noise_max_db,color,radiator_size,cooler_type,price_available,brand
MSI MAG CORELIQUID A13,2199.79,,,,,Black,360.0,AIO,True,MSI
Gigabyte AORUS WATERFORCE II 360 ICE,2599.8,800.0,2300.0,12.8,36.9,White,360.0,AIO,True,Gigabyte
Thermaltake TH360 V2 ARGB Sync,2419.79,500.0,2000.0,25.8,25.8,White,360.0,AIO,True,Thermaltake
Sapphire NITRO+ S360-A,,405.0,2400.0,17.9,36.2,Black / Silver,360.0,AIO,False,Desconocida
Thermaltake CL-P0101,,600.0,3700.0,15.0,46.5,,,Air,False,Thermaltake
ID-COOLING IS-30,,800.0,3600.0,17.0,35.8,,,Air,False,ID-COOLING
ZEROtherm ZT-1000D 775,,2500.0,2500.0,,,,,Air,False,ZEROtherm
Cooler Master Seidon 120V VER.2,,800.0,2400.0,6.5,27.0,,120.0,AIO,False,Cooler Master
upHere CC120RGB,,600.0,1700.0,16.1,27.7,Black / White,120.0,AIO,False,upHere
ARCTIC Freezer 34 CO,,200.0,1800.0,,,Black / Silver,,Air,False,ARCTIC
ARCTIC Liquid Freezer III Pro A-RGB 360,2009.8,600.0,3000.0,,,White,360.0,AIO,True,ARCTIC
Alphacool Eisbaer Extreme,4332.0,1000.0,1000.0,18.8,18.8,Black,280.0,AIO,True,Alphacool
CRYORIG H5 Universal,,700.0,1300.0,20.0,24.0,,,Air,False,CRYORIG
Thermalright Elite Vision 360 ARGB,,2150.0,2150.0,27.0,27.0,White,360.0,AIO,False,Thermalright
Asus ProArt LC 420,6999.8,800.0,2000.0,31.5,31.5,Black,420.0,AIO,True,ASUS
ARCTIC Liquid Freezer III 280 A-RGB,2779.8,200.0,1900.0,,,Black,280.0,AIO,True,ARCTIC
Prolimatech Megahalems Rev.B,,,,,,,,Air,False,Prolimatech
Fractal Design Lumen S24 RGB V2,2199.79,500.0,2000.0,10.0,33.2,Black,240.0,AIO,True,Fractal Design
Noua Numb Pro,,800.0,1600.0,29.0,29.0,Black,,Air,False,Noua
Deepcool CASTLE 360EX WHITE,,500.0,1800.0,32.1,32.1,White / Black,360.0,AIO,False,DeepCool
Scythe Mugen MAX,,500.0,1300.0,13.0,30.7,,,Air,False,Scythe
Enermax AQUAFUSION ADV 120,,500.0,2000.0,15.0,32.6,Black,120.0,AIO,False,Enermax
ID-COOLING SE-214-XT-WL,,700.0,1800.0,35.2,35.2,White,,Air,False,ID-COOLING
Thermalright SI-100,,2000.0,2000.0,27.7,27.7,Gray,,Air,False,Thermalright
SilentiumPC Fortis 5 ARGB,,300.0,1400.0,,,Black / Silver,,Air,False,SilentiumPC
Cooler Master MasterLiquid 360L Core SF6 Luke,,650.0,1750.0,27.2,27.2,White / Orange,360.0,AIO,False,Cooler Master
be quiet! Dark Rock Pro 4,,1500.0,1500.0,12.8,24.3,Black,,Air,False,be quiet!
Corsair iCUE LINK TITAN 240 RX LCD,3999.8,300.0,2100.0,10.0,36.0,Black,240.0,AIO,True,Corsair
Corsair H110i GT,,2100.0,2100.0,43.0,43.0,,280.0,AIO,False,Corsair
Cooler Master GeminII M5 LED,,500.0,1600.0,31.0,31.0,,,Air,False,Cooler Master
Noctua NH-L12Sx77,1599.0,450.0,1850.0,16.8,23.9,Silver / Beige,,Air,True,Noctua
Thermalright Assassin X 120 Refined SE,357.8,1550.0,1550.0,25.6,25.6,Black / Silver,,Air,True,Thermalright
PC Cooler DS360,2199.79,500.0,2200.0,32.0,32.0,Black,360.0,AIO,True,PC Cooler
ID-COOLING SE-234-ARGB V2,,500.0,1500.0,13.8,30.5,,,Air,False,ID-COOLING
Deepcool GAMMAXX AG400 ARGB,,500.0,2000.0,31.6,31.6,White,,Air,False,DeepCool
GameMax Iceberg 120 ARGB,,1100.0,1100.0,25.0,25.0,Black,120.0,AIO,False,GameMax
Thermaltake TH280 V2 ARGB Sync,2199.79,500.0,1800.0,25.8,25.8,Green,280.0,AIO,True,Thermaltake
Antec Neptune 240 ARGB,,900.0,1600.0,20.0,36.0,Black,240.0,AIO,False,Antec
Dynatron R12,,,,0.0,0.0,,,Air,False,Dynatron
Lian Li Galahad II Trinity,3780.0,2450.0,2450.0,35.4,35.4,Black,240.0,AIO,True,Lian Li
ID-COOLING SE-902-SD,,2000.0,2000.0,23.1,23.1,,,Air,False,ID-COOLING
Thermalright Silver Arrow,,500.0,1300.0,17.0,21.0,,,Air,False,Thermalright
Deepcool CAPTAIN 120EX WHITE,,500.0,1800.0,17.6,31.3,,120.0,AIO,False,DeepCool
Intel E97379-001,399.6,1200.0,2800.0,22.0,22.0,Silver / Black,,Air,True,Intel
Alphacool Eisbaer Aurora 240,2747.0,800.0,2000.0,,,Black,240.0,AIO,True,Alphacool
Jonsbo CR-3000E ARGB,,600.0,1600.0,22.0,34.0,Black,,Air,False,Jonsbo
ID-COOLING SE-913-R,,600.0,2200.0,23.8,23.8,,,Air,False,ID-COOLING
Scythe Big Shuriken 3 Rev.B,,300.0,1800.0,2.58,27.8,Black / Silver,,Air,False,Scythe
NZXT Kraken Z53 RGB,,500.0,1500.0,22.0,33.0,White / Black,240.0,AIO,False,NZXT
Antec A400i,715.8,800.0,1800.0,20.0,36.0,Black / Silver,,Air,True,Antec
Thermalright Frozen Notte ARGB V2,,2000.0,2000.0,27.7,27.7,Black,240.0,AIO,False,Thermalright
Scythe SCMN-2000,,500.0,1700.0,9.6,36.4,,,Air,False,Scythe
Antec Mercury 240 RGB,,900.0,1800.0,36.0,36.0,Black / White,240.0,AIO,False,Antec
Valkyrie Vind 125 SL,1099.8,800.0,2150.0,29.0,29.0,Black,,Air,True,Valkyrie
Fractal Design Lumen S24 V2,,500.0,2000.0,10.0,33.2,Black,240.0,AIO,False,Fractal Design
NZXT Kraken X63,2599.6,500.0,2000.0,21.0,38.0,Black,280.0,AIO,True,NZXT
Thermalright Peerless Assassin MINI,,1500.0,1500.0,25.6,25.6,White,,Air,False,Thermalright
Cooler Master MasterAir MA410P,,650.0,2000.0,6.0,30.0,,,Air,False,Cooler Master
Deepcool Gamerstorm Captain 240 PRO,,500.0,1800.0,30.0,30.0,Black,240.0,AIO,False,DeepCool
GAMDIAS CHIONE E4,1699.8,800.0,1800.0,11.0,33.8,Black,240.0,AIO,True,GAMDIAS
Cooler Master MasterLiquid ML360 Illusion,4075.0,650.0,1800.0,6.0,30.0,Black / Silver,360.0,AIO,True,Cooler Master
Gelid Solutions Polar,,1400.0,2000.0,16.0,28.9,,,Air,False,Gelid
Cooler Master Hyper TX3 EVO,,800.0,2800.0,17.0,35.0,,,Air,False,Cooler Master
Thermalright TA140 EX,,1800.0,1800.0,30.2,30.2,Gray,,Air,False,Thermalright
ID-COOLING FX360 ARGB,,500.0,1800.0,35.2,35.2,White,360.0,AIO,False,ID-COOLING
Thermalright SI-100 WHITE ARGB,618.0,2000.0,2000.0,27.7,27.7,White,,Air,True,Thermalright
SilentiumPC Navis RGB 240,,800.0,2300.0,,,Black,240.0,AIO,False,SilentiumPC
Cougar Poseidon Elite ARGB 240,2886.2,500.0,2200.0,33.5,33.5,White,240.0,AIO,True,Cougar
Vetroo V360,1159.0,800.0,1800.0,30.8,30.8,Black,360.0,AIO,True,Vetroo
Zalman CNPS 7500 Cu LED,,1150.0,2300.0,17.0,32.0,,,Air,False,Zalman
Thermaltake CLP0600,,1000.0,2400.0,19.3,30.0,,,Air,False,Thermaltake
Thermaltake TOUGHAIR 110,699.8,500.0,2000.0,23.6,23.6,Black / Silver,,Air,True,Thermaltake
ID-COOLING DK-09i,,2200.0,2200.0,26.8,26.8,,,Air,False,ID-COOLING
Thermaltake TOUGHLIQUID 360 EX Pro ARGB Sync,,500.0,2000.0,22.6,22.6,Black,360.0,AIO,False,Thermaltake
Iceberg Thermal IceFLOE T65,,1000.0,3000.0,31.5,31.5,Silver / Teal,,Air,False,Iceberg Thermal
Xilence I200,261.2,2200.0,2200.0,25.0,25.0,Black / Silver,,Air,True,Xilence
Deepcool CASTLE 280EX,,400.0,1600.0,39.8,39.8,Black,280.0,AIO,False,DeepCool
ID-COOLING DX240 MAX,,,,32.5,32.5,White,240.0,AIO,False,ID-COOLING
Iceberg Thermal IceFLOE OASIS 360,,200.0,2200.0,28.9,28.9,Black,360.0,AIO,False,Iceberg Thermal
Scythe SCKC-2100,,500.0,1300.0,9.6,24.7,,,Air,False,Scythe
Corsair iCUE LINK H150i RGB,4799.8,480.0,2400.0,,,Black,360.0,AIO,True,Corsair
Phanteks Glacier One 360M25 G2,1999.8,350.0,2000.0,35.13,35.13,Black,360.0,AIO,True,Phanteks
Scythe Kotetsu Mark 3,599.79,300.0,1500.0,4.0,28.6,Black / Silver,,Air,True,Scythe
Thermalright Archon IB-E X2,,900.0,1300.0,17.0,21.0,,,Air,False,Thermalright
Cooler Master Hyper 212 Spectrum V3,339.6,650.0,1750.0,27.2,27.2,Black / Silver,,Air,True,Cooler Master
HYTE THICC Q80 Trio,6999.8,1.0,3000.0,10.0,47.3,Black,360.0,AIO,True,HYTE
Cooler Master RR-T812-24PK-R2,,600.0,2400.0,19.0,40.0,,,Air,False,Cooler Master
Thermaltake Floe Riing RGB 360 TR4 Edition,,1000.0,2000.0,21.8,33.0,Black,360.0,AIO,False,Thermaltake
EK Nucleus AIO CR240 Dark,,550.0,2300.0,36.0,36.0,Black,240.0,AIO,False,EK
ID-COOLING FROSTFLOW X,,700.0,1800.0,18.0,35.2,,120.0,AIO,False,ID-COOLING
Deepcool AK500 DIGITAL WH,,500.0,1850.0,28.0,28.0,White,,Air,False,DeepCool
ID-COOLING SE-903-XT,299.8,500.0,2200.0,25.8,25.8,Black,,Air,True,ID-COOLING
ENDORFY Navis F240,2020.6,250.0,1800.0,,,Black,240.0,AIO,True,ENDORFY
Thermalright Hyper Vision ARGB,3399.8,2150.0,2150.0,27.0,27.0,Black,360.0,AIO,True,Thermalright
Lian Li Hydroshift LCD 360S,3599.8,200.0,2500.0,29.8,29.8,White,360.0,AIO,True,Lian Li
GAMDIAS BOREAS M2-51D,,800.0,1800.0,10.0,32.0,White,,Air,False,GAMDIAS
Fractal Design Celsius S36,,500.0,2000.0,32.2,32.2,,360.0,AIO,False,Fractal Design
Asus ROG STRIX LC II,2199.79,800.0,2500.0,37.6,37.6,Black,240.0,AIO,True,ASUS
NZXT Kraken 360 RGB,4399.8,500.0,1800.0,17.9,30.6,White,360.0,AIO,True,NZXT
MSI MPG CORELIQUID K360 V2,,,,39.9,39.9,Black,360.0,AIO,False,MSI
Cougar AQUA,,600.0,1600.0,34.0,34.0,Black,280.0,AIO,False,Cougar
NZXT Kraken X40,,800.0,2000.0,21.0,37.0,,140.0,AIO,False,NZXT
Montech HyperFlow ARGB 360,1998.0,2200.0,2200.0,29.1,29.1,White,360.0,AIO,True,Montech
Tempest Subzero RGB,,800.0,1650.0,,,Black / Silver,,Air,False,Desconocida
Logisys IC4100AST,,2200.0,2200.0,30.1,30.1,,,Air,False,Logisys
Cooler Master GeminII M5 LED,,500.0,1600.0,31.0,31.0,Black / Silver,,Air,False,Cooler Master
Cooler Master Hyper 622 Halo,,650.0,2050.0,27.0,27.0,Black,,Air,False,Cooler Master
Alphacool Eisbaer 420,,1100.0,1100.0,29.4,29.4,Black / Blue,420.0,AIO,False,Alphacool
Cooler Master Hyper H410R RGB,2780.0,600.0,2000.0,6.0,29.0,,,Air,True,Cooler Master
Noctua NH-D14,,900.0,1200.0,12.6,19.8,,,Air,False,Noctua
Thermalright Assassin X 90 SE,,2400.0,2400.0,27.3,27.3,Black / Silver,,Air,False,Thermalright
Alphacool Core Ocean T38,1350.0,,,0.0,34.3,Black,240.0,AIO,True,Alphacool
Iceberg Thermal IceSLEET X6,639.79,500.0,1850.0,0.0,36.0,Teal / Silver,,Air,True,Iceberg Thermal
Deepcool LT520 WH,,500.0,2250.0,32.9,32.9,White,240.0,AIO,False,DeepCool
RAIJINTEK LETO PRO RGB,,800.0,1800.0,25.0,25.0,Black / Silver,,Air,False,RAIJINTEK
GameMax Iceberg 120,,600.0,1800.0,25.0,32.0,Black,120.0,AIO,False,GameMax
Scythe Mugen 5 S,,350.0,1800.0,4.0,22.9,Black / Silver,,Air,False,Scythe
Corsair iCUE H150i ELITE CAPELLIX XT,,550.0,2100.0,5.0,34.1,Black,360.0,AIO,False,Corsair
Akasa X4,,600.0,2500.0,17.0,29.5,Black / Silver,,Air,False,Akasa
ID-COOLING SE-224-XT RGB,,900.0,2000.0,16.2,31.5,Black / White,,Air,False,ID-COOLING
Silverstone NovaPeak 240,1865.4,600.0,2200.0,35.1,35.1,Black,240.0,AIO,True,SilverStone
Silverstone PF120-ARGB,,600.0,2200.0,7.4,35.6,Black,120.0,AIO,False,SilverStone
RAIJINTEK Orcus 240,,800.0,1800.0,23.0,23.0,Black,240.0,AIO,False,RAIJINTEK
Gelid Solutions CC-GX7-01-A,,600.0,1800.0,10.0,26.8,,,Air,False,Gelid
Iceberg Thermal IceFLOE T95,199.8,1000.0,2200.0,32.3,32.3,Teal / Silver,,Air,True,Iceberg Thermal
Noctua NH-P1,2399.0,,,0.0,0.0,Silver,,Air,True,Noctua
Silverstone PF360-ARGB,,600.0,2200.0,7.4,35.6,Black,360.0,AIO,False,SilverStone
Inter-Tech ALSEYE MAX 120,,600.0,1800.0,16.5,32.5,Black,120.0,AIO,False,Inter-Tech
Fractal Design Kelvin T12,,800.0,1700.0,26.9,26.9,,120.0,AIO,False,Fractal Design
Thermalright Aqua Elite V3,691.8,1500.0,1500.0,25.6,25.6,Black,120.0,AIO,True,Thermalright
Fractal Design Celsius+ S28 Dynamic X2 PWM,,500.0,1700.0,32.7,32.7,Black,280.0,AIO,False,Fractal Design
Cooler Master MASTERLIQUID ML120L RGB V2,,650.0,1800.0,6.0,27.0,Black,120.0,AIO,False,Cooler Master
NZXT Kraken Elite 360 (2024),5399.8,500.0,2000.0,30.0,30.0,Black,360.0,AIO,True,NZXT
Thermalright Frozen Fusion ARGB,,2150.0,2150.0,28.1,28.1,Black,360.0,AIO,False,Thermalright
ARCTIC Alpine 11 - Passive,,,,0.0,0.0,,,Air,False,ARCTIC
Cooler Master MA410P TUF Gaming Edition,,650.0,2000.0,,,Yellow / Black,,Air,False,Cooler Master
SilentiumPC Navis RGB 360,,500.0,1600.0,,,Black / White,360.0,AIO,False,SilentiumPC
In Win Nebula NR36,2980.0,400.0,1800.0,25.0,25.0,Black / White,360.0,AIO,True,In Win
Corsair iCUE LINK TITAN 240 RX RGB,3199.8,300.0,2100.0,,,Black,240.0,AIO,True,Corsair
ARCTIC Freezer 34 eSports DUO,,200.0,2100.0,24.4,24.4,Red / Black,,Air,False,ARCTIC
Thermalright Phantom Spirit,758.0,1500.0,1500.0,25.6,25.6,Black / Silver,,Air,True,Thermalright
Thermalright Peerless Assassin 120 Digital ARGB,,1850.0,1850.0,25.6,25.6,White,,Air,False,Thermalright
GAMDIAS BOREAS M2-51D,,800.0,1800.0,10.0,32.0,Black,,Air,False,GAMDIAS
ID-COOLING IS-40X,499.79,600.0,2500.0,14.0,33.0,Black / White,,Air,True,ID-COOLING
GAMDIAS CHIONE M4-360,2104.6,800.0,2000.0,11.0,29.0,Black,360.0,AIO,True,GAMDIAS
Xion XON-HP9310P,,1000.0,3000.0,16.0,25.3,,,Air,False,Desconocida
ID-COOLING FROZN A720 BLACK,1399.6,500.0,2000.0,33.5,33.5,Black,,Air,True,ID-COOLING
Thermalright Burst Assassin,431.8,1550.0,1550.0,25.6,25.6,Gray / Black,,Air,True,Thermalright
ARCTIC Liquid Freezer III Pro,1589.6,400.0,2500.0,,,Black,280.0,AIO,True,ARCTIC
EK EK-Nucleus AIO CR240 Lux D-RGB,2559.79,550.0,2300.0,36.0,36.0,Black,240.0,AIO,True,EK
Xigmatek Dark Knight SD1483 Frostbourne,,800.0,1200.0,18.0,18.0,,,Air,False,Xigmatek
Thermaltake TH420 ARGB Sync,4277.39,500.0,1800.0,34.7,34.7,Black,420.0,AIO,True,Thermaltake
Thermalright Frozen Prism ARGB,958.0,1850.0,1850.0,27.0,27.0,Black,240.0,AIO,True,Thermalright
iBuypower AW4,1599.8,700.0,2000.0,38.0,38.0,Black,240.0,AIO,True,Desconocida
Akasa SOHO 360 Dusk,5124.0,500.0,2000.0,14.5,31.8,Black,360.0,AIO,True,Akasa
Deepcool LUCIFER,,700.0,1400.0,17.8,31.1,,,Air,False,DeepCool
NZXT Kraken 360,3599.8,500.0,1800.0,17.9,30.6,Black,360.0,AIO,True,NZXT
Corsair NAUTILUS 240 RS ARGB,1999.8,2100.0,2100.0,34.0,34.0,Black,240.0,AIO,True,Corsair
Cooler Master MasterLiquid 240L Core ARGB,1699.8,350.0,1750.0,27.2,27.2,Black,240.0,AIO,True,Cooler Master
Deepcool THETA 20 PWM,329.6,900.0,2400.0,17.8,32.5,Black / Silver,,Air,True,DeepCool
Deepcool GAMMAXX AG400 ARGB,,500.0,2000.0,31.6,31.6,Black,,Air,False,DeepCool
ENDORFY Fera 5 Black ARGB,,250.0,1800.0,,,Black,,Air,False,ENDORFY
Cooler Master MasterAir MA620P TUF Gaming Edition,,600.0,1800.0,6.0,31.0,Black / Yellow,,Air,False,Cooler Master
be quiet! Silent Loop 120,,2000.0,2000.0,16.1,36.9,,120.0,AIO,False,be quiet!
Silverstone IceMyst 360,2999.8,500.0,2200.0,12.1,33.1,Silver / Black,360.0,AIO,True,SilverStone
Asus ROG STRIX LC II ARGB,,800.0,2500.0,37.6,37.6,Black,120.0,AIO,False,ASUS
Thermalright Frozen Edge,898.0,2150.0,2150.0,28.1,28.1,Black,240.0,AIO,True,Thermalright
ARCTIC Freezer 13 Limited Edition,,600.0,2000.0,,,,,Air,False,ARCTIC
Phanteks Glacier One 240MP,,500.0,2200.0,18.0,34.2,Black / White,240.0,AIO,False,Phanteks
Jonsbo CR-1000 EVO ARGB Black,590.0,600.0,1500.0,22.0,32.0,Black,,Air,True,Jonsbo
Montech HyperFlow Silent 240,1498.4,800.0,2200.0,24.8,24.8,Black,240.0,AIO,True,Montech
Thermalright Frozen Magic ARGB,,1500.0,1500.0,25.6,25.6,White,240.0,AIO,False,Thermalright
SAMA SM360 LCD,2199.79,800.0,1800.0,35.5,35.5,White,360.0,AIO,True,SAMA
be quiet! Silent Loop 2 360,,2200.0,2200.0,17.7,39.8,Black,360.0,AIO,False,be quiet!
Mars Gaming ML-ONE,,600.0,1800.0,9.0,26.0,White,360.0,AIO,False,Mars Gaming
ARCTIC Liquid Freezer II 240,,200.0,1800.0,,,Black,240.0,AIO,False,ARCTIC
Deepcool GAMMAXX L120,,500.0,1800.0,17.8,17.8,Black,120.0,AIO,False,DeepCool
ID-COOLING FROSTFLOW X,989.8,700.0,1800.0,18.0,35.2,,240.0,AIO,True,ID-COOLING
Thermalright Phantom Spirit EVO,1199.8,2150.0,2150.0,27.0,27.0,Black,,Air,True,Thermalright
Zalman ZM-CNPS14X,,950.0,1350.0,17.0,21.0,,,Air,False,Zalman
Evercool LGAL1156A-B715,,1000.0,5500.0,56.0,56.0,,,Air,False,Evercool
Gigabyte AORUS WATERFORCE X II 360 ICE,4399.8,800.0,2400.0,12.0,37.5,White,360.0,AIO,True,Gigabyte
Phanteks GLACIER ONE 360D30,,250.0,2000.0,30.2,30.2,Black,360.0,AIO,False,Phanteks
RAIJINTEK THEMIS BLACK,,1000.0,1500.0,24.53,24.53,Black / Silver,,Air,False,RAIJINTEK
GAMDIAS CHIONE M1,,600.0,1200.0,,,Black,280.0,AIO,False,GAMDIAS
Thermaltake TOUGHLIQUID 360 EX Pro ARGB Sync,,500.0,2000.0,31.6,31.6,Black,280.0,AIO,False,Thermaltake
Zalman CNPS 8700 NT,,1150.0,2100.0,17.5,30.0,,,Air,False,Zalman
ID-COOLING IS-67-XT,,500.0,2200.0,35.2,35.2,White,,Air,False,ID-COOLING
GAMDIAS CHIONE E4,,450.0,1800.0,11.0,35.2,Black,420.0,AIO,False,GAMDIAS
ARCTIC Liquid Freezer II 120,,200.0,1800.0,,,Black,120.0,AIO,False,ARCTIC
TRYX PANORAMA ARGB (2024),,500.0,1850.0,27.86,27.86,Black,360.0,AIO,False,TRYX
Vetroo V240,997.6,800.0,1800.0,30.8,30.8,Black,240.0,AIO,True,Vetroo
Prolimatech PRO-SAM17,,,,,,,,Air,False,Prolimatech
Zalman FX70,,,,0.0,0.0,,,Air,False,Zalman
ID-COOLING SE-213,,800.0,1600.0,16.0,20.2,,,Air,False,ID-COOLING
Deepcool CASTLE 120R,,500.0,1800.0,32.0,32.0,Black,120.0,AIO,False,DeepCool
Vetroo V5,599.79,800.0,1700.0,30.8,30.8,Black,,Air,True,Vetroo
Thermaltake ASTRIA 400 ARGB,899.8,500.0,1800.0,26.8,26.8,Black,,Air,True,Thermaltake
Gelid Solutions Slim Silence A-Plus,,1200.0,2600.0,15.0,27.2,,,Air,False,Gelid
Antec A30,,1750.0,1750.0,20.0,20.0,,,Air,False,Antec
Silverstone SST-HE01,,500.0,2000.0,18.0,41.0,,,Air,False,SilverStone
Alphacool Core Ocean T38,1580.0,,,0.0,34.3,Black,360.0,AIO,True,Alphacool
TRYX PANORAMA,,500.0,2250.0,30.97,30.97,Black,240.0,AIO,False,TRYX
Phanteks PH-TC12LS_BK,,500.0,1800.0,25.0,25.0,,,Air,False,Phanteks
APNX AP1-V,599.79,600.0,1800.0,16.1,32.8,Black,,Air,True,APNX
LEPA LPALV12-BK,,2200.0,2200.0,23.0,23.0,,,Air,False,Desconocida
EVGA CLC 240,,500.0,2400.0,16.0,39.9,,240.0,AIO,False,EVGA
Thermaltake ASTRIA 600 ARGB,1299.6,500.0,1800.0,26.8,26.8,Black,,Air,True,Thermaltake
Asus ROG Ryujin 240 RGB AIO,,450.0,2000.0,29.7,29.7,Black,240.0,AIO,False,ASUS
ID-COOLING SE-214i,,800.0,1800.0,16.2,29.2,,,Air,False,ID-COOLING
ID-COOLING SE-234-ARGB,,900.0,2000.0,16.2,31.5,Black,,Air,False,ID-COOLING
Corsair iCUE H100x RGB ELITE,,1500.0,1500.0,7.0,28.0,Black,240.0,AIO,False,Corsair
Dynatron K5,582.6,1000.0,2500.0,14.7,29.8,,,Air,True,Dynatron
ENDORFY Spartan 5 MAX,400.0,250.0,1500.0,,,Black / Silver,,Air,True,ENDORFY
CRYORIG A80,,600.0,1850.0,13.0,38.0,,280.0,AIO,False,CRYORIG
MSI MAG CORELIQUID E240 WHITE,1999.8,,,,,White,240.0,AIO,True,MSI
Zalman LQ-315,,900.0,2000.0,,,,120.0,AIO,False,Zalman
ID-COOLING FROZN A400 ARGB,,600.0,2200.0,25.8,25.8,Black,,Air,False,ID-COOLING
Phanteks Glacier One 240 T30 Gen2,,1200.0,3000.0,11.1,39.7,Black / Gray,240.0,AIO,False,Phanteks
ARCTIC Freezer 33 eSports ONE (Black/Green),,200.0,1800.0,24.4,24.4,,,Air,False,ARCTIC
Alpenföhn Dolomit,,500.0,2200.0,23.8,23.8,Black,,Air,False,Alpenföhn
Cooler Master S2N-PLMHS-07-GP,,,,0.0,0.0,,,Air,False,Cooler Master
Xilence A402,,600.0,2200.0,14.0,23.8,Red / Black,,Air,False,Xilence
GAMDIAS CHIONE M4-420,,800.0,1600.0,11.0,29.0,Black,420.0,AIO,False,GAMDIAS
Thermaltake TH360 V2 ARGB Sync,2599.8,500.0,2000.0,25.8,25.8,Black,360.0,AIO,True,Thermaltake
Asus TUF Gaming LC III ARGB LCD,,650.0,2600.0,37.4,37.4,Black,360.0,AIO,False,ASUS
Cooler Master MasterLiquid Lite 240,,650.0,2000.0,6.0,30.0,,240.0,AIO,False,Cooler Master
Xilence LQ360 ​​ARGB,,500.0,1500.0,18.0,30.2,Black,360.0,AIO,False,Xilence
Alpenföhn Glacier Water 280,4109.39,500.0,2000.0,36.4,36.4,Black,280.0,AIO,True,Alpenföhn
Cooler Master MasterLiquid 360 Core II,1699.8,600.0,1750.0,30.0,30.0,White,360.0,AIO,True,Cooler Master
Enermax ETS-T40F-W,,2200.0,2200.0,27.0,27.0,,,Air,False,Enermax
Deepcool ASSASSIN IV,,500.0,1700.0,22.6,29.3,White,,Air,False,DeepCool
EVGA ACX mITX,725.2,800.0,2800.0,33.4,33.4,,,Air,True,EVGA
Cooler Master MasterLiquid 120 Core II,,600.0,1750.0,30.0,30.0,Black,120.0,AIO,False,Cooler Master
Noctua NH-L12S,1499.0,450.0,1850.0,16.8,23.9,,,Air,True,Noctua
Valkyrie VIND SL125,,800.0,2150.0,29.0,29.0,White / Blue,,Air,False,Valkyrie
Deepcool ICE BLADE 200M,,2200.0,2200.0,17.8,30.1,,,Air,False,DeepCool
Xigmatek LOKI SD963,,1200.0,2800.0,20.0,28.0,,,Air,False,Xigmatek
Deepcool CAPTAIN360EX,,500.0,1800.0,17.6,31.3,,360.0,AIO,False,DeepCool
Corsair iCUE LINK H115i RGB,2399.79,400.0,2000.0,,,Black,280.0,AIO,True,Corsair
Alphacool EISBAER LT120,,550.0,1700.0,29.0,29.0,Black,120.0,AIO,False,Alphacool
Deepcool AK500,,500.0,1850.0,,,Black / Silver,,Air,False,DeepCool
ABKONCORE CT408,,800.0,1650.0,33.0,33.0,Black,,Air,False,Desconocida
Noctua NH-C14S,2673.8,300.0,1500.0,19.2,24.6,,,Air,True,Noctua
Montech HyperFlow ARGB 240,1945.2,2200.0,2200.0,29.1,29.1,Black,240.0,AIO,True,Montech
MSI MAG CORELIQUID A15,2199.79,500.0,2050.0,28.7,28.7,Black,360.0,AIO,True,MSI
Montech HyperFlow ARGB 360,1959.8,2200.0,2200.0,29.1,29.1,Black,360.0,AIO,True,Montech
GAMDIAS CHIONE M2,,1800.0,1800.0,,,Black,240.0,AIO,False,GAMDIAS
Cooler Master Nepton 140XL,,2000.0,2000.0,21.0,39.0,,140.0,AIO,False,Cooler Master
EVGA CLC 280,,600.0,2200.0,16.0,39.5,,280.0,AIO,False,EVGA
Asus ROG RYUJIN II,,450.0,2000.0,29.7,29.7,Black,360.0,AIO,False,ASUS
Noctua NH-L9i chromax.black,1199.0,600.0,2500.0,14.8,23.6,Black,,Air,True,Noctua
Thermalright Aqua Elite ARGB,,1550.0,1550.0,25.6,25.6,White,240.0,AIO,False,Thermalright
Corsair H60 (2018),,1700.0,1700.0,28.3,28.3,Black,120.0,AIO,False,Corsair
Xilence M705D,1403.19,700.0,1600.0,18.0,32.5,Black,,Air,True,Xilence
ID-COOLING ZOOMFLOW X,,700.0,1500.0,18.0,26.4,Black,240.0,AIO,False,ID-COOLING
SilenX EFZ-120HA3,,800.0,2000.0,,,,,Air,False,SilenX
Titan TTC-NK54TZ,,3500.0,3500.0,30.6,30.6,,,Air,False,Titan
GAMDIAS CHIONE E2,,1800.0,1800.0,,,Black,120.0,AIO,False,GAMDIAS
be quiet! Dark Rock 4,,1400.0,1400.0,,,Black,,Air,False,be quiet!
NZXT Kraken 240 RGB,2299.79,500.0,1800.0,17.9,30.6,White,240.0,AIO,True,NZXT
ARCTIC Alpine 12 Passive,,,,0.0,0.0,Black,,Air,False,ARCTIC
Vetroo R240,,,,,,Black,240.0,AIO,False,Vetroo
ID-COOLING SE-224-XT ARGB V3,,500.0,1500.0,13.8,30.5,,,Air,False,ID-COOLING
Lian Li Galahad II Trinity SL-INF,3379.8,2100.0,2100.0,29.0,29.0,Black,360.0,AIO,True,Lian Li
Thermaltake CLP0532,,2500.0,2500.0,34.0,34.0,,,Air,False,Thermaltake
Thermaltake TH360 V2 Ultra EX ARGB Sync,4499.59,,,,,Black,360.0,AIO,True,Thermaltake
Thermaltake Water 3.0 120 ARGB Sync,,500.0,1500.0,25.8,25.8,Black,120.0,AIO,False,Thermaltake
