name,price,rpm_min,rpm_max,noise_min_db,noise_max_db,color,radiator_size,cooler_type,price_available,brand
Cougar AQUA,,600.0,1800.0,35.0,35.0,Black,120.0,AIO,False,Cougar
ARCTIC Alpine 17 CO,259.8,250.0,2700.0,,,Black,,Air,True,ARCTIC
Rosewill PB240-RGB,,1500.0,1500.0,26.8,26.8,Black,240.0,AIO,False,Rosewill
RAIJINTEK EOS 360 RBW,,800.0,1800.0,28.0,28.0,Black,360.0,AIO,False,RAIJINTEK
Cooler Master Hyper 212 EVO V2,1399.6,650.0,1800.0,8.0,27.0,Black / Silver,,Air,True,Cooler Master
ARCTIC Freezer Xtreme Rev.2,,800.0,1500.0,24.4,24.4,,,Air,False,ARCTIC
Corsair iCUE H100i ELITE CAPELLIX,,2400.0,2400.0,10.0,37.0,Black,240.0,AIO,False,Corsair
Noctua NH-L12 Ghost S1,1499.0,300.0,1600.0,13.1,17.6,Silver / Beige,,Air,True,Noctua
Xilence A250PWM,357.8,1000.0,2800.0,17.8,32.0,Red / Black,,Air,True,Xilence
TRYX PANORAMA ARGB (2024),,500.0,1450.0,27.07,27.07,White,280.0,AIO,False,TRYX
Reeven Ouranos,,300.0,1700.0,5.8,36.4,,,Air,False,Reeven
ID-COOLING FI-VC Twin,,800.0,1800.0,16.2,32.6,,,Air,False,ID-COOLING
Gelid Solutions Liquid 360,1879.8,750.0,1800.0,29.6,29.6,Black,360.0,AIO,True,Gelid
Asus ROG Ryujin III ARGB Extreme,7799.8,1.0,2800.0,36.0,36.0,White,360.0,AIO,True,ASUS
Jonsbo HX4170D,,600.0,3300.0,28.4,28.4,White,,Air,False,Jonsbo
NZXT Kraken Z73,4400.0,500.0,1800.0,21.0,36.0,Black,360.0,AIO,True,NZXT
upHere AC12RGB,,600.0,1700.0,16.1,27.7,Black,,Air,False,upHere
Silverstone TD03-LITE,,1500.0,2500.0,18.0,35.0,,120.0,AIO,False,SilverStone
FSP Group MP7,,800.0,1800.0,32.0,32.0,Black,,Air,False,FSP
Thermaltake TOUGHLIQUID Ultra,3799.8,500.0,2500.0,28.1,28.1,Black,360.0,AIO,True,Thermaltake
Asus TUF GAMING LC 240 ARGB,,800.0,2000.0,29.0,29.0,Black,240.0,AIO,False,ASUS
Gelid Solutions Liquid 120,,750.0,1800.0,29.6,29.6,Black,120.0,AIO,False,Gelid
Silverstone NT09-115X,510.4,550.0,2500.0,18.5,32.0,,,Air,True,SilverStone
NZXT Kraken Elite 240 RGB (2024),3799.8,500.0,2400.0,30.0,30.0,White,240.0,AIO,True,NZXT
ID-COOLING DX240 MAX,1199.8,,,32.5,32.5,Black,240.0,AIO,True,ID-COOLING
Cooler Master MasterLiquid Atmos II,,690.0,2500.0,36.0,38.5,Black,360.0,AIO,False,Cooler Master
ENDORFY Navis F280 ARGB,2694.4,250.0,1800.0,,,Black,280.0,AIO,True,ENDORFY
Vetroo Shadow,,800.0,2500.0,29.6,29.6,Black,,Air,False,Vetroo
EK AIO 280 D-RGB,,500.0,2000.0,36.4,36.4,Black / Translucent White,280.0,AIO,False,EK
YEYIAN VATN 120 ARGB,,800.0,2000.0,25.0,32.0,Black,120.0,AIO,False,Desconocida
Scythe Mugen 5 Black Edition,,300.0,1500.0,4.0,29.75,Black,,Air,False,Scythe
NZXT HAVIK 140,,1200.0,1200.0,25.0,25.0,,,Air,False,NZXT
Valkyrie SYN,,800.0,2150.0,29.0,29.0,Black / Red,360.0,AIO,False,Valkyrie
Cooler Master MasterLiquid Pro 280,,650.0,2200.0,6.0,30.0,,280.0,AIO,False,Cooler Master
Thermaltake A1964,,5500.0,5500.0,,,,,Air,False,Thermaltake
ARCTIC Alpine M1,,750.0,750.0,20.5,20.5,,,Air,False,ARCTIC
ID-COOLING IS-47S,,800.0,3600.0,17.0,35.8,,,Air,False,ID-COOLING
NZXT Kraken X61,,800.0,2000.0,20.0,37.0,,280.0,AIO,False,NZXT
Deepcool LQ360,,600.0,2150.0,32.0,32.0,White,360.0,AIO,False,DeepCool
Gigabyte AORUS WATERFORCE X,,800.0,2500.0,7.9,37.6,Black,240.0,AIO,False,Gigabyte
Scythe Mugen 5,,300.0,1500.0,4.0,29.75,,,Air,False,Scythe
YEYIAN VATN ARGB 240,,800.0,2000.0,25.0,32.0,Black,240.0,AIO,False,Desconocida
ARCTIC Alpine 17,239.8,100.0,2000.0,,,Black / White,,Air,True,ARCTIC
Thermalright Frozen Warframe ARGB,,2000.0,2000.0,22.1,22.1,White,240.0,AIO,False,Thermalright
MSI Core Frozr XL,2732.8,500.0,1800.0,17.2,33.6,Black / Red,,Air,True,MSI
SilentiumPC Fera 5,,300.0,1800.0,,,Black / Silver,,Air,False,SilentiumPC
ZEROtherm ZT-570D,,900.0,2300.0,30.0,30.0,,,Air,False,ZEROtherm
ENDORFY Navis F280,,250.0,1800.0,,,Black,280.0,AIO,False,ENDORFY
