name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 990 Pro,2999.8,2000.0,0.075,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,1139.0,1000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,2279.0,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,5999.8,4000.0,0.075,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV3,1160.0,1000.0,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,1999.8,1000.0,0.1,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO Plus,2599.8,2000.0,0.065,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Western Digital WD_Black SN850X,3090.8,2000.0,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,1859.4,2000.0,0.046,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO,8599.79,4000.0,0.107,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 EVO Plus,1499.6,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Seagate Barracuda Compute,1339.8,2000.0,0.033,7200,256.0,3.5,SATA 6.0 Gb/s
Klevv CRAS C910,1159.8,1000.0,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,1559.6,1000.0,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,899.8,500.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,2499.79,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,1858.0,1000.0,0.093,SSD,1024.0,2.5,SATA 6.0 Gb/s
Western Digital WD_Black SN850X,11990.0,8000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,5367.0,4000.0,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO,4599.8,2000.0,0.115,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4
Kingston NV3,2290.0,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,4229.0,4000.0,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,1833.8,1000.0,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,1039.8,1000.0,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,1299.8,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO Plus,4999.8,4000.0,0.062,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Klevv CRAS C910,2079.79,2000.0,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro,9599.79,24000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
TEAMGROUP MP44L,1159.8,1000.0,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel SSDPEDMD020T401,78740.0,2000.0,1.968,SSD,,PCIe,PCIe x4
SK Hynix Platinum P41,2299.79,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,1499.8,4000.0,0.019,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 980 Pro,3699.0,2000.0,0.092,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,2680.0,1000.0,0.134,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Patriot P300,679.8,512.0,0.066,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,859.8,1000.0,0.043,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,5300.0,4000.0,0.066,SSD,4096.0,2.5,SATA 6.0 Gb/s
Crucial T500,2499.79,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,1099.8,1000.0,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,2299.79,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,2800.0,1000.0,0.14,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P310,1299.8,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,1315.4,1000.0,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Source HC,60660.0,16000.0,0.19,SSD,,2.5,SATA 6.0 Gb/s
Sabrent Rocket 4 Plus,21177.8,8000.0,0.132,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44L,2119.79,2000.0,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,2600.0,8000.0,0.016,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,3374.8,2000.0,0.084,SSD,2048.0,2.5,SATA 6.0 Gb/s
Samsung 9100 PRO,3099.8,1000.0,0.155,SSD,1024.0,M.2-2280,M.2 PCIe 5.0 X4
Lexar NM790,2499.79,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705,3999.8,2000.0,0.1,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD Blue SN5000,1195.8,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK SN7100,2599.8,2000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV3,779.8,500.0,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,1099.8,500.0,0.11,SSD,512.0,2.5,SATA 6.0 Gb/s
Kingston KC3000,3238.0,2048.0,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M461,1799.8,2000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,1599.8,500.0,0.16,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
PNY CS1030,999.8,1000.0,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P310,2249.79,2000.0,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,12599.8,8000.0,0.079,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN7100,1460.0,1000.0,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,1387.6,1000.0,0.069,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot Burst Elite,249.8,120.0,0.104,SSD,,2.5,SATA 6.0 Gb/s
Acer Predator GM7000,2499.79,2000.0,0.062,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,1299.6,2000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Kingston Fury Renegade,3080.0,2000.0,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,1091.8,1000.0,0.055,7200,64.0,3.5,SATA 6.0 Gb/s
Crucial BX500,1339.6,1000.0,0.067,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN8100,9299.79,4000.0,0.116,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
