name,price,capacity,price_per_gb,type,cache,form_factor,interface
Western Digital Blue,1459.8,4000.0,0.018,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 970 Evo,2122.6,500.0,0.212,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5 Plus,4576.0,2000.0,0.114,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,599.79,500.0,0.06,7200,16.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,8399.79,20000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,1299.6,2000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Crucial MX500,2640.0,500.0,0.264,SSD,512.0,2.5,SATA 6.0 Gb/s
Samsung 980 Pro w/Heatsink,3019.8,1000.0,0.151,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,3597.8,4000.0,0.045,7200,256.0,3.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4 7300,2959.8,2000.0,0.074,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro,6306.2,16000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba MG04ACA600E,3000.0,6000.0,0.025,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,5300.0,10000.0,0.026,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Exos X20,6999.8,20000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,5399.8,12000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,3977.6,8000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,2099.79,6000.0,0.017,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,8999.79,24000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,1560.2,2000.0,0.039,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,1199.8,3000.0,0.02,5400,256.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M480 PRO,5799.8,4000.0,0.072,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro NAS,2599.8,4000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 860 Evo,1322.6,250.0,0.265,SSD,512.0,2.5,SATA 6.0 Gb/s
Western Digital WD Blue,2630.2,8000.0,0.016,5640,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,3999.8,8000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 9100 PRO w/Heatsink,3299.8,1000.0,0.165,SSD,1024.0,M.2-2280,M.2 PCIe 5.0 X4
Seagate Barracuda Compute,1499.6,4000.0,0.019,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,8588.4,18000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba MG10 512e,6999.8,20000.0,0.017,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,8395.8,20000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,4955.8,8000.0,0.031,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,1099.8,250.0,0.22,SSD,512.0,2.5,SATA 6.0 Gb/s
Toshiba MG09 512e,5500.0,18000.0,0.015,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,1719.8,2000.0,0.043,5400,128.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,1399.6,1000.0,0.07,5400,64.0,3.5,SATA 6.0 Gb/s
Samsung 960 Evo,1759.0,250.0,0.352,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Purple Pro,9999.79,24000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,4749.0,14000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
