name,price,capacity,type,cache,form_factor,interface,brand
Western Digital Red Plus,3177.0,8000.0,5640,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Blue,1459.8,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Samsung 970 Evo,2122.6,500.0,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Crucial P5 Plus,4576.0,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,Crucial
Western Digital Caviar Blue,599.79,500.0,7200,16.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate IronWolf Pro NAS,8399.79,20000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate Barracuda Compute,1299.6,2000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Crucial MX500,2640.0,500.0,SSD,512.0,2.5,SATA 6.0 Gb/s,Crucial
Samsung 980 Pro w/Heatsink,3019.8,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,Samsung
Western Digital WD_BLACK,3597.8,4000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Gigabyte AORUS Gen4 7300,2959.8,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,Gigabyte
Seagate IronWolf Pro,6306.2,16000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Toshiba MG04ACA600E,3000.0,6000.0,7200,128.0,3.5,SATA 6.0 Gb/s,Toshiba
Western Digital WD_BLACK,5300.0,10000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate Exos X20,6999.8,20000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Red Plus,5399.8,12000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital WD_BLACK,3977.6,8000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Red Plus,2099.79,6000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital WD Red Pro,8999.79,24000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital WD_BLACK,1560.2,2000.0,7200,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Blue,1199.8,3000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Western Digital
MSI SPATIUM M480 PRO,5799.8,4000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,MSI
Seagate IronWolf Pro NAS,2599.8,4000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 860 Evo,1322.6,250.0,SSD,512.0,2.5,SATA 6.0 Gb/s,Samsung
Western Digital WD Blue,2630.2,8000.0,5640,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate IronWolf Pro NAS,3999.8,8000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 9100 PRO w/Heatsink,3299.8,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 5.0 X4,Samsung
Seagate Barracuda Compute,1499.6,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate Exos X18,8588.4,18000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Toshiba MG10 512e,6999.8,20000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Toshiba
Western Digital WD Red Pro,8395.8,20000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate IronWolf NAS,4955.8,8000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 870 Evo,1099.8,250.0,SSD,512.0,2.5,SATA 6.0 Gb/s,Samsung
Toshiba MG09 512e,5500.0,18000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Toshiba
Seagate BarraCuda,1719.8,2000.0,5400,128.0,2.5,SATA 6.0 Gb/s,Seagate
Western Digital Blue,1399.6,1000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Samsung 960 Evo,1759.0,250.0,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Western Digital Purple Pro,9999.79,24000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate IronWolf Pro,4749.0,14000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate IronWolf Pro NAS,11907.4,22000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 970 Pro,4799.8,512.0,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Acer Predator GM7000,1059.8,512.0,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4,Acer
Samsung 980 Pro w/Heatsink,4700.0,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,Samsung
Western Digital AV-GP,811.8,2000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate Exos X18,4599.8,14000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate BarraCuda Pro,4735.6,10000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Gigabyte AORUS Gen5 14000,7210.8,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4,Gigabyte
Seagate IronWolf Pro NAS,6599.8,16000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate BarraCuda,3500.0,5000.0,5400,128.0,2.5,SATA 6.0 Gb/s,Seagate
Seagate ST500LM021,400.0,500.0,7200,32.0,2.5,SATA 6.0 Gb/s,Seagate
Western Digital WD_BLACK,2599.8,6000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital WD Blue,1614.6,4000.0,5400,256.0,3.5,SATA 3.0 Gb/s,Western Digital
Seagate Enterprise Capacity,2680.0,8000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate Exos X14,5000.0,12000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Toshiba MQ01ABD050,363.8,500.0,5400,8.0,2.5,SATA 3.0 Gb/s,Toshiba
Western Digital WD Red Pro,6268.2,16000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Blue,799.8,1000.0,7200,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital WD Red Pro,2779.8,4000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Gigabyte AORUS Gen5 14000,3329.4,1000.0,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4,Gigabyte
Western Digital DC HC530,4399.8,14000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Samsung Spinpoint M8,589.79,1000.0,5400,8.0,2.5,SATA 3.0 Gb/s,Samsung
Samsung 860 Pro,18499.8,4000.0,SSD,4096.0,2.5,SATA 6.0 Gb/s,Samsung
Western Digital WD Blue,1199.8,2000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Toshiba MQ01ABD032,279.8,320.0,5400,8.0,2.5,SATA 3.0 Gb/s,Toshiba
Western Digital WD Red Pro,6399.8,18000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate Exos X18,5980.0,16000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 860 Evo,4980.0,2000.0,SSD,2048.0,2.5,SATA 6.0 Gb/s,Samsung
Western Digital Black,2259.79,4000.0,7200,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Samsung 970 Pro,7999.8,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Samsung 960 Pro,13799.0,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Western Digital WD Blue,899.8,1000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate Surveillance HDD,5812.0,8000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate SkyHawk AI,8799.79,24000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 970 Evo,5180.0,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Crucial P5 Plus,2078.4,500.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,Crucial
Western Digital VelociRaptor,979.4,1000.0,10000,64.0,2.5,SATA 6.0 Gb/s,Western Digital
Seagate BarraCuda,600.0,500.0,7200,16.0,3.5,SATA 6.0 Gb/s,Seagate
Gigabyte AORUS Gen4,2999.8,1000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,Gigabyte
Toshiba MG08,5980.0,16000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Toshiba
Western Digital Blue,719.8,1000.0,5400,16.0,2.5,SATA 6.0 Gb/s,Western Digital
Samsung 960 Evo,2920.6,500.0,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Seagate BarraCuda,1343.6,1000.0,5400,128.0,2.5,SATA 6.0 Gb/s,Seagate
Seagate BarraCuda,2399.79,6000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate IronWolf NAS,5479.8,10000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate EXOS Enterprise,1820.0,4000.0,7200,128.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital WD Blue,2099.79,6000.0,5400,256.0,3.5,SATA 3.0 Gb/s,Western Digital
Seagate Exos X16,7780.0,16000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate Exos X22,20694.2,22000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate IronWolf NAS,4706.2,12000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Red Plus,1599.6,2000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Toshiba S300,2311.39,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Toshiba
Western Digital Gold,8999.79,22000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Blue,2999.8,8000.0,5640,128.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Purple,1739.8,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Ultrastar DC HC560,9593.0,22000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate IronWolf NAS,4999.8,14000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate BarraCuda,800.0,500.0,5400,32.0,3.5,SATA 6.0 Gb/s,Seagate
MSI SPATIUM M570 HS,8105.0,2000.0,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4,MSI
Seagate Exos X24,7999.8,20000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Caviar Green,1099.8,1000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Samsung 960 Evo,4122.2,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Western Digital WD_BLACK,6011.2,10000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate Barracuda Compute,1850.0,2000.0,5400,128.0,2.5,SATA 6.0 Gb/s,Seagate
Seagate ST1000LM035,880.0,1000.0,5400,128.0,2.5,SATA 6.0 Gb/s,Seagate
Seagate BarraCuda,2540.0,4000.0,5400,128.0,2.5,SATA 6.0 Gb/s,Seagate
Toshiba MK3276GSX,279.6,320.0,5400,8.0,2.5,SATA 3.0 Gb/s,Toshiba
Seagate IronWolf NAS,2999.8,6000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Gold,11599.8,20000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital WD Red Pro,4999.8,10000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
MSI SPATIUM M570 FROZR,4799.8,2000.0,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4,MSI
Western Digital WD Red Pro,5384.6,12000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate BarraCuda Pro Compute,1295.8,1000.0,7200,128.0,2.5,SATA 6.0 Gb/s,Seagate
Samsung 860 Evo,4322.6,1000.0,SSD,1024.0,M.2-2280,M.2 SATA,Samsung
Western Digital SE,849.59,2000.0,7200,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital WD Red Pro,3999.8,8000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital WD_BLACK,2599.8,4000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Red,2838.8,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Ultrastar DC HC550,6209.8,16000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Blue,2059.79,2000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Hitachi Ultrastar 7K6000,1512.6,4000.0,7200,128.0,3.5,SATA 6.0 Gb/s,Hitachi
Seagate IronWolf Pro,5100.0,8000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate IronWolf NAS,4600.0,6000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Hitachi 0F23663,20900.0,6000.0,7200,128.0,3.5,SATA 6.0 Gb/s,Hitachi
Seagate Exos X14,4999.8,14000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 960 Pro,3917.2,512.0,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Mushkin Vortex Redline,1859.8,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,Mushkin
Western Digital Blue,1699.8,4000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
MSI SPATIUM M580 FROZR,6459.8,2000.0,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4,MSI
Samsung 860 Evo,7446.4,4000.0,SSD,4096.0,2.5,SATA 6.0 Gb/s,Samsung
HP EX920,1359.6,512.0,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,HP
Western Digital Blue,759.8,1000.0,5400,8.0,2.5,SATA 6.0 Gb/s,Western Digital
Seagate Archive HDD v2,2792.6,5000.0,5900,128.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Red,2080.0,3000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Toshiba DT01ACA050,679.4,500.0,7200,32.0,3.5,SATA 6.0 Gb/s,Toshiba
Toshiba X300 Pro,7179.8,18000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Toshiba
Seagate IronWolf Pro,4999.8,12000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate IronWolf Pro NAS,1899.8,2000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital AV-GP,284.2,320.0,5400,8.0,3.5,SATA 3.0 Gb/s,Western Digital
Western Digital Blue,2020.0,4000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate Exos 7E10 512e/4Kn,4368.2,8000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate IronWolf NAS,4999.8,12000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate Barracuda Compute,1898.8,3000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 860 Evo,3799.8,500.0,SSD,512.0,M.2-2280,M.2 SATA,Samsung
Seagate Momentus Thin,1128.0,500.0,5400,16.0,2.5,SATA 3.0 Gb/s,Seagate
Seagate IronWolf NAS,3100.0,4000.0,5900,64.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital WD Red Pro,8980.0,22000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate Exos X22,8999.79,22000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate Enterprise Capacity,1399.6,3000.0,7200,128.0,3.5,SATA 6.0 Gb/s,Seagate
Toshiba N300,2854.2,4000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Toshiba
